"ch_version","name","case_insensitive","alias_to"
"18.5.1","IntervalYear",0,""
"18.5.1","IntervalDay",0,""
"18.5.1","IntervalWeek",0,""
"18.5.1","IntervalHour",0,""
"18.5.1","IntervalMinute",0,""
"18.5.1","Nested",0,""
"18.5.1","IntervalMonth",0,""
"18.5.1","Tuple",0,""
"18.5.1","IntervalSecond",0,""
"18.5.1","UInt64",0,""
"18.5.1","Int16",0,""
"18.5.1","Int8",0,""
"18.5.1","Date",1,""
"18.5.1","UUID",0,""
"18.5.1","String",0,""
"18.5.1","AggregateFunction",0,""
"18.5.1","Nullable",0,""
"18.5.1","FixedString",0,""
"18.5.1","UInt32",0,""
"18.5.1","UInt8",0,""
"18.5.1","UInt16",0,""
"18.5.1","Int32",0,""
"18.5.1","Enum8",0,""
"18.5.1","Nothing",0,""
"18.5.1","Array",0,""
"18.5.1","Int64",0,""
"18.5.1","Float32",0,""
"18.5.1","Float64",0,""
"18.5.1","DateTime",1,""
"18.5.1","Enum16",0,""
"18.5.1","LONGBLOB",1,"String"
"18.5.1","BIGINT",1,"Int64"
"18.5.1","SMALLINT",1,"Int16"
"18.5.1","INTEGER",1,"Int32"
"18.5.1","INT",1,"Int32"
"18.5.1","MEDIUMTEXT",1,"String"
"18.5.1","TINYINT",1,"Int8"
"18.5.1","MEDIUMBLOB",1,"String"
"18.5.1","DOUBLE",1,"Float64"
"18.5.1","BINARY",1,"FixedString"
"18.5.1","FLOAT",1,"Float32"
"18.5.1","CHAR",1,"String"
"18.5.1","VARCHAR",1,"String"
"18.5.1","TEXT",1,"String"
"18.5.1","TINYTEXT",1,"String"
"18.5.1","LONGTEXT",1,"String"
"18.5.1","BLOB",1,"String"
"18.5.1","TINYBLOB",1,"String"
