"ch_version","name","description","allow_readonly"
"24.8.14.10548.altinitystable","hudi","The table function can be used to read the Hudi table stored on object store.",0
"24.8.14.10548.altinitystable","deltaLake","The table function can be used to read the DeltaLake table stored on object store.",0
"24.8.14.10548.altinitystable","hdfsCluster","The table function can be used to read the data stored on HDFS in parallel for many nodes in a specified cluster.",0
"24.8.14.10548.altinitystable","azureBlobStorageCluster","The table function can be used to read the data stored on Azure Blob Storage in parallel for many nodes in a specified cluster.",0
"24.8.14.10548.altinitystable","cluster","",1
"24.8.14.10548.altinitystable","oss","The table function can be used to read the data stored on OSS.",0
"24.8.14.10548.altinitystable","cosn","The table function can be used to read the data stored on COSN.",0
"24.8.14.10548.altinitystable","input","",0
"24.8.14.10548.altinitystable","s3","The table function can be used to read the data stored on AWS S3.",0
"24.8.14.10548.altinitystable","fuzzQuery","Perturbs a query string with random variations.",1
"24.8.14.10548.altinitystable","timeSeriesData","Provides direct access to the 'data' target table for a specified TimeSeries table.",0
"24.8.14.10548.altinitystable","azureBlobStorage","The table function can be used to read the data stored on Azure Blob Storage.",0
"24.8.14.10548.altinitystable","viewExplain","
                Returns result of EXPLAIN query.
                The function should not be called directly but can be invoked via `SELECT * FROM (EXPLAIN <query>)`.
                You can use this query to process the result of EXPLAIN further using SQL (e.g., in tests).
                Example:
                [example:1]
                ",0
"24.8.14.10548.altinitystable","null","",1
"24.8.14.10548.altinitystable","postgresql","",0
"24.8.14.10548.altinitystable","file","",0
"24.8.14.10548.altinitystable","mysql","",0
"24.8.14.10548.altinitystable","clusterAllReplicas","",1
"24.8.14.10548.altinitystable","viewIfPermitted","",1
"24.8.14.10548.altinitystable","odbc","",0
"24.8.14.10548.altinitystable","numbers_mt","",1
"24.8.14.10548.altinitystable","mergeTreeIndex","Represents the contents of index and marks files of MergeTree tables. It can be used for introspection",1
"24.8.14.10548.altinitystable","fuzzJSON","Perturbs a JSON string with random variations.",1
"24.8.14.10548.altinitystable","format","
Extracts table structure from data and parses it according to specified input format.
Syntax: `format(format_name, data)`.
Parameters:
    - `format_name` - the format of the data.
    - `data ` - String literal or constant expression that returns a string containing data in specified format.
Returned value: A table with data parsed from `data` argument according specified format and extracted schema.
",0
"24.8.14.10548.altinitystable","dictionary","",0
"24.8.14.10548.altinitystable","hive","",0
"24.8.14.10548.altinitystable","redis","",0
"24.8.14.10548.altinitystable","generateRandom","",1
"24.8.14.10548.altinitystable","sqlite","",0
"24.8.14.10548.altinitystable","remote","",0
"24.8.14.10548.altinitystable","s3Cluster","The table function can be used to read the data stored on S3 in parallel for many nodes in a specified cluster.",0
"24.8.14.10548.altinitystable","timeSeriesTags","Provides direct access to the 'tags' target table for a specified TimeSeries table.",0
"24.8.14.10548.altinitystable","values","",1
"24.8.14.10548.altinitystable","numbers","",1
"24.8.14.10548.altinitystable","url","",0
"24.8.14.10548.altinitystable","executable","",0
"24.8.14.10548.altinitystable","jdbc","",0
"24.8.14.10548.altinitystable","iceberg","The table function can be used to read the Iceberg table stored on object store.",0
"24.8.14.10548.altinitystable","timeSeriesMetrics","Provides direct access to the 'metrics' target table for a specified TimeSeries table.",0
"24.8.14.10548.altinitystable","mongodb","",0
"24.8.14.10548.altinitystable","zeros_mt","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros_mt`, this table function is using single thread for data generation.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using single thread.
                See also the `system.zeros` table.",0
"24.8.14.10548.altinitystable","fileCluster","This table function is used for distributed reading of files in cluster nodes filesystems.",0
"24.8.14.10548.altinitystable","urlCluster","",0
"24.8.14.10548.altinitystable","view","",1
"24.8.14.10548.altinitystable","generate_series","",1
"24.8.14.10548.altinitystable","merge","",0
"24.8.14.10548.altinitystable","loop","The table function can be used to continuously output query results in an infinite loop.",0
"24.8.14.10548.altinitystable","generateSeries","",1
"24.8.14.10548.altinitystable","zeros","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros`, this table function is using multiple threads for data generation, according to the `max_threads` setting.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using multiple threads.
                See also the `system.zeros` table.
                ",0
"24.8.14.10548.altinitystable","gcs","The table function can be used to read the data stored on GCS.",0
"24.8.14.10548.altinitystable","remoteSecure","",0
"24.8.14.10548.altinitystable","hdfs","The table function can be used to read the data stored on HDFS virtual filesystem.",0
