"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query","origin","description"
"22.12.2.25","polygonsEqualsCartesian",0,0,"","","System",""
"22.12.2.25","h3GetPentagonIndexes",0,0,"","","System",""
"22.12.2.25","JSON_VALUE",0,0,"","","System",""
"22.12.2.25","UUIDStringToNum",0,0,"","","System",""
"22.12.2.25","roundDown",0,0,"","","System",""
"22.12.2.25","trunc",0,1,"","","System",""
"22.12.2.25","ceil",0,1,"","","System",""
"22.12.2.25","roundBankers",0,0,"","","System",""
"22.12.2.25","round",0,1,"","","System",""
"22.12.2.25","toIntervalHour",0,0,"","","System",""
"22.12.2.25","toIntervalMinute",0,0,"","","System",""
"22.12.2.25","toIntervalMillisecond",0,0,"","","System",""
"22.12.2.25","parseDateTime64BestEffortUSOrZero",0,0,"","","System",""
"22.12.2.25","parseDateTime64BestEffortOrZero",0,0,"","","System",""
"22.12.2.25","parseDateTime64BestEffort",0,0,"","","System",""
"22.12.2.25","parseDateTime32BestEffort",0,0,"","","System",""
"22.12.2.25","parseDateTimeBestEffortOrNull",0,0,"","","System",""
"22.12.2.25","parseDateTimeBestEffortOrZero",0,0,"","","System",""
"22.12.2.25","toUUIDOrNull",0,0,"","","System",""
"22.12.2.25","parseDateTimeBestEffort",0,0,"","","System",""
"22.12.2.25","toDecimal128OrNull",0,0,"","","System",""
"22.12.2.25","toDecimal64OrNull",0,0,"","","System",""
"22.12.2.25","toDecimal32OrNull",0,0,"","","System",""
"22.12.2.25","toDateTimeOrNull",0,0,"","","System",""
"22.12.2.25","toDate32OrNull",0,0,"","","System",""
"22.12.2.25","toDateOrNull",0,0,"","","System",""
"22.12.2.25","toFloat64OrNull",0,0,"","","System",""
"22.12.2.25","toInt256OrNull",0,0,"","","System",""
"22.12.2.25","toInt128OrNull",0,0,"","","System",""
"22.12.2.25","toInt64OrNull",0,0,"","","System",""
"22.12.2.25","toUInt128OrNull",0,0,"","","System",""
"22.12.2.25","toUInt64OrNull",0,0,"","","System",""
"22.12.2.25","toUInt8OrNull",0,0,"","","System",""
"22.12.2.25","toDecimal256OrZero",0,0,"","","System",""
"22.12.2.25","toDecimal64OrZero",0,0,"","","System",""
"22.12.2.25","toDecimal32OrZero",0,0,"","","System",""
"22.12.2.25","toDate32OrZero",0,0,"","","System",""
"22.12.2.25","toDateOrZero",0,0,"","","System",""
"22.12.2.25","toFloat64OrZero",0,0,"","","System",""
"22.12.2.25","toFloat32OrZero",0,0,"","","System",""
