"ch_version","name","case_insensitive","alias_to"
"23.4.1.1943","JSON",1,""
"23.4.1.1943","Polygon",0,""
"23.4.1.1943","Ring",0,""
"23.4.1.1943","Point",0,""
"23.4.1.1943","SimpleAggregateFunction",0,""
"23.4.1.1943","IntervalQuarter",0,""
"23.4.1.1943","IntervalMonth",0,""
"23.4.1.1943","Int64",0,""
"23.4.1.1943","IntervalDay",0,""
"23.4.1.1943","IntervalHour",0,""
"23.4.1.1943","IPv4",0,""
"23.4.1.1943","IntervalSecond",0,""
"23.4.1.1943","LowCardinality",0,""
"23.4.1.1943","Int16",0,""
"23.4.1.1943","UInt256",0,""
"23.4.1.1943","AggregateFunction",0,""
"23.4.1.1943","MultiPolygon",0,""
"23.4.1.1943","IPv6",0,""
"23.4.1.1943","Nothing",0,""
"23.4.1.1943","Decimal256",1,""
"23.4.1.1943","Tuple",0,""
"23.4.1.1943","Array",0,""
"23.4.1.1943","IntervalMicrosecond",0,""
"23.4.1.1943","Bool",1,""
"23.4.1.1943","Enum16",0,""
"23.4.1.1943","IntervalMinute",0,""
"23.4.1.1943","FixedString",0,""
"23.4.1.1943","String",0,""
"23.4.1.1943","DateTime",1,""
"23.4.1.1943","Object",0,""
"23.4.1.1943","Map",0,""
"23.4.1.1943","UUID",0,""
"23.4.1.1943","Decimal64",1,""
"23.4.1.1943","Nullable",0,""
"23.4.1.1943","Enum",1,""
"23.4.1.1943","Int32",0,""
"23.4.1.1943","UInt8",0,""
"23.4.1.1943","Date",1,""
"23.4.1.1943","Decimal32",1,""
"23.4.1.1943","UInt128",0,""
"23.4.1.1943","Float64",0,""
"23.4.1.1943","Nested",0,""
"23.4.1.1943","UInt16",0,""
"23.4.1.1943","IntervalMillisecond",0,""
"23.4.1.1943","Int128",0,""
"23.4.1.1943","Decimal128",1,""
"23.4.1.1943","Int8",0,""
"23.4.1.1943","Decimal",1,""
"23.4.1.1943","Int256",0,""
"23.4.1.1943","DateTime64",1,""
"23.4.1.1943","Enum8",0,""
"23.4.1.1943","DateTime32",1,""
"23.4.1.1943","Date32",1,""
"23.4.1.1943","IntervalWeek",0,""
"23.4.1.1943","UInt64",0,""
"23.4.1.1943","IntervalNanosecond",0,""
"23.4.1.1943","IntervalYear",0,""
"23.4.1.1943","UInt32",0,""
"23.4.1.1943","Float32",0,""
"23.4.1.1943","bool",1,"Bool"
"23.4.1.1943","INET6",1,"IPv6"
"23.4.1.1943","INET4",1,"IPv4"
"23.4.1.1943","ENUM",1,"Enum"
"23.4.1.1943","BINARY",1,"FixedString"
"23.4.1.1943","GEOMETRY",1,"String"
"23.4.1.1943","NATIONAL CHAR VARYING",1,"String"
"23.4.1.1943","BINARY VARYING",1,"String"
"23.4.1.1943","NCHAR LARGE OBJECT",1,"String"
"23.4.1.1943","NATIONAL CHARACTER VARYING",1,"String"
"23.4.1.1943","boolean",1,"Bool"
"23.4.1.1943","NATIONAL CHARACTER LARGE OBJECT",1,"String"
