"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"26.5.7.64","CSVWithNamesAndTypes",1,1,1,1,1,"text/csv; charset=UTF-8; header=present",0,1,0,0,0,1
"26.5.7.64","ORC",1,1,1,0,0,"application/octet-stream",1,1,0,1,0,1
"26.5.7.64","Protobuf",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.5.7.64","PrettyJSONEachRow",0,1,0,1,1,"application/x-ndjson; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONCompactEachRowWithNamesAndTypes",1,1,1,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","JSONL",1,0,0,0,1,"",0,0,0,0,0,0
"26.5.7.64","JSONStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSON",1,1,0,1,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","RawWithNames",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","MsgPack",1,1,0,1,0,"application/octet-stream",0,1,0,0,0,0
"26.5.7.64","LineAsStringWithNames",0,1,0,1,1,"text/tab-separated-values; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","JSONCompactStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","LineAsString",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,0,1,0,0,0
"26.5.7.64","RowBinaryWithNames",1,1,0,1,0,"application/octet-stream",0,0,0,0,0,0
"26.5.7.64","RowBinary",1,1,0,1,0,"application/octet-stream",0,0,0,0,0,0
"26.5.7.64","SQLInsert",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","Native",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.5.7.64","Prometheus",0,1,0,0,1,"text/plain; version=0.0.4; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","TSVRaw",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","JSONLines",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","Buffers",1,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"26.5.7.64","CustomSeparatedIgnoreSpaces",1,0,0,0,1,"",0,1,0,0,0,0
"26.5.7.64","JSONAsObject",1,0,1,0,1,"",0,0,1,0,0,0
"26.5.7.64","HiveText",1,0,1,0,1,"",0,0,0,0,0,0
"26.5.7.64","RowBinaryWithDefaults",1,0,0,0,1,"",0,0,0,0,0,0
"26.5.7.64","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","RawWithNamesAndTypes",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","JSONCompactStringsEachRow",1,1,1,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","TabSeparatedWithNamesAndTypes",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","JSONCompactStringsEachRowWithNames",1,1,1,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","JSONCompactEachRow",1,1,1,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","TSKV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","Avro",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.5.7.64","JSONEachRow",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","Pretty",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.5.7.64","TSVRawWithNames",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.5.7.64","TabSeparatedRaw",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"26.5.7.64","Regexp",1,0,1,0,1,"",0,1,0,0,0,0
"26.5.7.64","CSVWithNames",1,1,1,1,1,"text/csv; charset=UTF-8; header=present",0,1,0,0,0,1
