"ch_version","name","is_aggregate","case_insensitive","alias_to"
"19.11.8.46","JSONExtract",0,0,""
"19.11.8.46","JSONExtractString",0,0,""
"19.11.8.46","JSONExtractBool",0,0,""
"19.11.8.46","JSONExtractFloat",0,0,""
"19.11.8.46","JSONExtractUInt",0,0,""
"19.11.8.46","JSONKey",0,0,""
"19.11.8.46","JSONLength",0,0,""
"19.11.8.46","assumeNotNull",0,0,""
"19.11.8.46","nullIf",0,1,""
"19.11.8.46","coalesce",0,1,""
"19.11.8.46","isNotNull",0,0,""
"19.11.8.46","isNull",0,0,""
"19.11.8.46","geoToH3",0,0,""
"19.11.8.46","geohashEncode",0,0,""
"19.11.8.46","pointInPolygon",0,0,""
"19.11.8.46","greatCircleDistance",0,0,""
"19.11.8.46","pow",0,1,""
"19.11.8.46","acos",0,1,""
"19.11.8.46","findClusterValue",0,0,""
"19.11.8.46","asin",0,1,""
"19.11.8.46","ifNull",0,1,""
"19.11.8.46","tan",0,1,""
"19.11.8.46","cos",0,1,""
"19.11.8.46","sin",0,1,""
"19.11.8.46","tgamma",0,0,""
"19.11.8.46","lgamma",0,0,""
"19.11.8.46","erfc",0,0,""
"19.11.8.46","cbrt",0,0,""
"19.11.8.46","log10",0,1,""
"19.11.8.46","log",0,1,""
"19.11.8.46","exp",0,1,""
"19.11.8.46","pi",0,1,""
"19.11.8.46","e",0,0,""
"19.11.8.46","visitParamExtractString",0,0,""
"19.11.8.46","visitParamExtractFloat",0,0,""
"19.11.8.46","visitParamExtractInt",0,0,""
"19.11.8.46","decodeURLComponent",0,0,""
"19.11.8.46","exp2",0,0,""
"19.11.8.46","cutURLParameter",0,0,""
"19.11.8.46","cutQueryString",0,0,""
"19.11.8.46","cutToFirstSignificantSubdomain",0,0,""
"19.11.8.46","exp10",0,0,""
"19.11.8.46","queryStringAndFragment",0,0,""
"19.11.8.46","fragment",0,0,""
"19.11.8.46","pathFull",0,0,""
"19.11.8.46","topLevelDomain",0,0,""
"19.11.8.46","domainWithoutWWW",0,0,""
"19.11.8.46","domain",0,0,""
"19.11.8.46","protocol",0,0,""
"19.11.8.46","ngramSearchCaseInsensitiveUTF8",0,0,""
"19.11.8.46","ngramSearchCaseInsensitive",0,0,""
"19.11.8.46","ngramDistanceUTF8",0,0,""
"19.11.8.46","multiFuzzyMatchAnyIndex",0,0,""
