"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"24.6.3.78","HDFS",1,0,0,1,0,0,0,0
"24.6.3.78","OSS",1,0,0,1,0,0,0,0
"24.6.3.78","AzureBlobStorage",1,0,0,1,0,0,0,0
"24.6.3.78","KeeperMap",0,0,0,1,0,0,0,1
"24.6.3.78","SQLite",0,0,0,0,0,0,0,0
"24.6.3.78","ExternalDistributed",0,0,0,0,0,0,0,0
"24.6.3.78","S3",1,0,0,1,0,0,0,0
"24.6.3.78","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"24.6.3.78","PostgreSQL",0,0,0,0,0,0,0,0
"24.6.3.78","NATS",1,0,0,0,0,0,0,0
"24.6.3.78","RabbitMQ",1,0,0,0,0,0,0,0
"24.6.3.78","FileLog",1,0,0,0,0,0,0,0
"24.6.3.78","Dictionary",0,0,0,0,0,0,0,0
"24.6.3.78","MySQL",1,0,0,0,0,0,0,0
"24.6.3.78","S3Queue",1,0,0,0,0,0,0,0
"24.6.3.78","FuzzJSON",0,0,0,0,0,0,0,0
"24.6.3.78","Kafka",1,0,0,0,0,0,0,0
"24.6.3.78","Loop",0,0,0,0,0,0,0,0
"24.6.3.78","WindowView",0,0,0,0,0,0,0,0
"24.6.3.78","Distributed",1,0,0,0,0,0,0,1
"24.6.3.78","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","ExecutablePool",1,0,0,0,0,0,0,0
"24.6.3.78","COSN",1,0,0,1,0,0,0,0
"24.6.3.78","Iceberg",0,0,0,0,0,0,0,0
"24.6.3.78","MaterializedView",0,0,0,0,0,0,0,0
"24.6.3.78","View",0,0,0,0,0,0,0,0
"24.6.3.78","JDBC",0,0,0,0,0,0,0,0
"24.6.3.78","Join",1,0,0,0,0,0,0,0
"24.6.3.78","Executable",1,0,0,0,0,0,0,0
"24.6.3.78","Set",1,0,0,0,0,0,0,0
"24.6.3.78","Redis",0,0,0,1,0,0,0,1
"24.6.3.78","GenerateRandom",0,0,0,0,0,0,0,0
"24.6.3.78","LiveView",0,0,0,0,0,0,0,0
"24.6.3.78","MergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","Memory",1,0,0,0,0,0,0,1
"24.6.3.78","Buffer",0,0,0,0,0,0,0,1
"24.6.3.78","MongoDB",0,0,0,0,0,0,0,0
"24.6.3.78","URL",1,0,0,0,0,0,0,0
"24.6.3.78","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","Hive",1,0,0,1,0,0,0,0
"24.6.3.78","ReplacingMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","DeltaLake",0,0,0,0,0,0,0,0
"24.6.3.78","EmbeddedRocksDB",1,0,0,1,1,0,0,1
"24.6.3.78","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","File",1,0,0,0,0,0,0,0
"24.6.3.78","TinyLog",1,0,0,0,0,0,0,0
"24.6.3.78","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"24.6.3.78","SummingMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","Hudi",0,0,0,0,0,0,0,0
"24.6.3.78","GraphiteMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","CollapsingMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","Merge",0,0,0,0,0,0,0,0
"24.6.3.78","AzureQueue",1,0,0,0,0,0,0,0
"24.6.3.78","AggregatingMergeTree",1,1,1,1,1,0,0,1
"24.6.3.78","ODBC",0,0,0,0,0,0,0,0
"24.6.3.78","Null",0,0,0,0,0,0,0,1
"24.6.3.78","StripeLog",1,0,0,0,0,0,0,0
"24.6.3.78","Log",1,0,0,0,0,0,0,0
