"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.8.11.17","RabbitMQ",1,0,0,0,0,0
"20.8.11.17","Kafka",1,0,0,0,0,0
"20.8.11.17","MySQL",0,0,0,0,0,0
"20.8.11.17","HDFS",0,0,0,0,0,0
"20.8.11.17","S3",0,0,0,0,0,0
"20.8.11.17","MaterializedView",0,0,0,0,0,0
"20.8.11.17","View",0,0,0,0,0,0
"20.8.11.17","JDBC",0,0,0,0,0,0
"20.8.11.17","Join",1,0,0,0,0,0
"20.8.11.17","Set",0,0,0,0,0,0
"20.8.11.17","Dictionary",0,0,0,0,0,0
"20.8.11.17","GenerateRandom",0,0,0,0,0,0
"20.8.11.17","LiveView",0,0,0,0,0,0
"20.8.11.17","MergeTree",1,1,1,1,0,0
"20.8.11.17","Memory",0,0,0,0,0,0
"20.8.11.17","Buffer",0,0,0,0,0,0
"20.8.11.17","MongoDB",0,0,0,0,0,0
"20.8.11.17","URL",0,0,0,0,0,0
"20.8.11.17","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.8.11.17","ReplacingMergeTree",1,1,1,1,0,0
"20.8.11.17","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.8.11.17","COSN",0,0,0,0,0,0
"20.8.11.17","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.8.11.17","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.8.11.17","File",0,0,0,0,0,0
"20.8.11.17","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.8.11.17","ReplicatedMergeTree",1,1,1,1,1,1
"20.8.11.17","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.8.11.17","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.8.11.17","SummingMergeTree",1,1,1,1,0,0
"20.8.11.17","Distributed",0,0,0,0,0,0
"20.8.11.17","TinyLog",1,0,0,0,0,0
"20.8.11.17","GraphiteMergeTree",1,1,1,1,0,0
"20.8.11.17","CollapsingMergeTree",1,1,1,1,0,0
"20.8.11.17","Merge",0,0,0,0,0,0
"20.8.11.17","AggregatingMergeTree",1,1,1,1,0,0
"20.8.11.17","ODBC",0,0,0,0,0,0
"20.8.11.17","Null",0,0,0,0,0,0
"20.8.11.17","StripeLog",1,0,0,0,0,0
"20.8.11.17","Log",1,0,0,0,0,0
