"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.8.13.15","RabbitMQ",1,0,0,0,0,0
"20.8.13.15","Kafka",1,0,0,0,0,0
"20.8.13.15","MySQL",0,0,0,0,0,0
"20.8.13.15","HDFS",0,0,0,0,0,0
"20.8.13.15","S3",0,0,0,0,0,0
"20.8.13.15","MaterializedView",0,0,0,0,0,0
"20.8.13.15","View",0,0,0,0,0,0
"20.8.13.15","JDBC",0,0,0,0,0,0
"20.8.13.15","Join",1,0,0,0,0,0
"20.8.13.15","Set",0,0,0,0,0,0
"20.8.13.15","Dictionary",0,0,0,0,0,0
"20.8.13.15","GenerateRandom",0,0,0,0,0,0
"20.8.13.15","LiveView",0,0,0,0,0,0
"20.8.13.15","MergeTree",1,1,1,1,0,0
"20.8.13.15","Memory",0,0,0,0,0,0
"20.8.13.15","Buffer",0,0,0,0,0,0
"20.8.13.15","MongoDB",0,0,0,0,0,0
"20.8.13.15","URL",0,0,0,0,0,0
"20.8.13.15","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.8.13.15","ReplacingMergeTree",1,1,1,1,0,0
"20.8.13.15","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.8.13.15","COSN",0,0,0,0,0,0
"20.8.13.15","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.8.13.15","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.8.13.15","File",0,0,0,0,0,0
"20.8.13.15","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.8.13.15","ReplicatedMergeTree",1,1,1,1,1,1
"20.8.13.15","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.8.13.15","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.8.13.15","SummingMergeTree",1,1,1,1,0,0
"20.8.13.15","Distributed",0,0,0,0,0,0
"20.8.13.15","TinyLog",1,0,0,0,0,0
"20.8.13.15","GraphiteMergeTree",1,1,1,1,0,0
"20.8.13.15","CollapsingMergeTree",1,1,1,1,0,0
"20.8.13.15","Merge",0,0,0,0,0,0
"20.8.13.15","AggregatingMergeTree",1,1,1,1,0,0
"20.8.13.15","ODBC",0,0,0,0,0,0
"20.8.13.15","Null",0,0,0,0,0,0
"20.8.13.15","StripeLog",1,0,0,0,0,0
"20.8.13.15","Log",1,0,0,0,0,0
