"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"26.1.3.52","One",1,0,0,0,1,"",0,0,1,0,0,0
"26.1.3.52","ParquetMetadata",1,0,1,0,1,"",1,1,0,0,0,1
"26.1.3.52","MySQLDump",1,0,0,0,1,"",0,1,0,0,0,0
"26.1.3.52","Hash",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","CapnProto",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.1.3.52","PostgreSQLWire",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"26.1.3.52","MD",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","TSV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"26.1.3.52","PrettyCompactMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","JSONEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","JSONCompactStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","JSONStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","Vertical",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","Null",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettySpaceNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","Markdown",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","Form",1,0,0,0,1,"",0,1,0,0,0,0
"26.1.3.52","ODBCDriver2",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"26.1.3.52","PrettySpaceMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettyCompactNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","JSONStringsEachRow",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"26.1.3.52","PrettyCompact",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","DWARF",1,0,1,0,1,"",1,1,0,0,0,1
"26.1.3.52","Values",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"26.1.3.52","PrettyNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettyNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","PrettyMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","AvroConfluent",1,0,0,0,1,"",0,1,0,0,0,1
"26.1.3.52","RawBLOB",1,1,0,0,1,"text/plain; charset=UTF-8",0,0,1,0,0,0
"26.1.3.52","Parquet",1,1,1,0,0,"application/octet-stream",1,1,0,0,0,1
"26.1.3.52","JSONCompactEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1,"",0,1,0,0,0,1
"26.1.3.52","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1,"",0,1,0,0,0,1
"26.1.3.52","CustomSeparatedWithNamesAndTypes",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"26.1.3.52","PrettySpace",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","Arrow",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.1.3.52","JSONAsString",1,0,1,0,1,"",0,0,1,0,0,0
"26.1.3.52","CustomSeparatedWithNames",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,1
"26.1.3.52","CustomSeparated",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"26.1.3.52","BSONEachRow",1,1,1,1,0,"application/octet-stream",0,1,0,0,0,0
"26.1.3.52","Template",1,1,0,0,1,"text/plain; charset=UTF-8",0,1,0,0,1,0
"26.1.3.52","XML",0,1,0,1,1,"application/xml; charset=UTF-8",0,0,0,0,0,0
"26.1.3.52","ProtobufList",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.1.3.52","ProtobufSingle",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"26.1.3.52","JSONColumnsWithMetadata",1,1,0,0,1,"application/json; charset=UTF-8",0,1,0,0,0,1
"26.1.3.52","TSVRawWithNamesAndTypes",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,1
"26.1.3.52","Npy",1,1,0,0,0,"application/octet-stream",0,1,0,0,0,1
"26.1.3.52","TemplateIgnoreSpaces",1,0,0,0,1,"",0,1,0,0,0,0
