"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"25.7.1.3997","One",1,0,0,0,1,"",0,0,1,0,0,0
"25.7.1.3997","ParquetMetadata",1,0,1,0,1,"",1,1,0,0,0,1
"25.7.1.3997","MySQLDump",1,0,0,0,1,"",0,1,0,0,0,0
"25.7.1.3997","CapnProto",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"25.7.1.3997","PostgreSQLWire",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.7.1.3997","TSV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"25.7.1.3997","PrettyCompactMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","JSONEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","JSONCompactStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","JSONStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","Vertical",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","Null",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","PrettySpaceNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","Markdown",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.7.1.3997","Form",1,0,0,0,1,"",0,1,0,0,0,0
"25.7.1.3997","ODBCDriver2",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.7.1.3997","PrettySpaceMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
