"20.3.18.10","ODBCDriver2",0,1
"20.3.18.10","JSONCompact",0,1
"20.3.18.10","PrettyNoEscapes",0,1
"20.3.18.10","Pretty",0,1
"20.3.18.10","CustomSeparated",1,1
"20.3.18.10","TemplateIgnoreSpaces",1,0
"20.3.18.10","MySQLWire",0,1
"20.3.18.10","Template",1,1
"20.3.18.10","TabSeparatedWithNames",1,1
"20.3.18.10","JSONCompactEachRowWithNamesAndTypes",1,1
"20.3.18.10","Parquet",1,1
"20.3.18.10","RowBinary",1,1
"20.3.18.10","Protobuf",1,1
"20.3.18.10","CustomSeparatedIgnoreSpaces",1,0
"20.3.18.10","CSVWithNames",1,1
"20.3.18.10","PrettySpace",0,1
"20.3.18.10","TSV",1,1
"20.3.18.10","CSV",1,1
"20.3.18.10","ODBCDriver",0,1
"20.3.18.10","JSONCompactEachRow",1,1
"20.3.18.10","Values",1,1
"20.3.18.10","PrettyCompact",0,1
"20.3.18.10","ORC",1,0
"20.3.18.10","TSVRaw",0,1
"20.3.18.10","PrettyCompactNoEscapes",0,1
"20.3.18.10","JSONEachRowWithProgress",0,1
"20.3.18.10","AvroConfluent",1,0
"20.3.18.10","TabSeparated",1,1
"20.3.18.10","TabSeparatedWithNamesAndTypes",1,1
"20.3.18.10","Null",0,1
"20.3.18.10","TabSeparatedRaw",0,1
"20.3.18.10","TSVWithNames",1,1
"20.3.18.10","Avro",1,1
"20.3.18.10","RowBinaryWithNamesAndTypes",1,1
"20.3.18.10","XML",0,1
"20.3.18.10","JSON",0,1
"20.3.18.10","TSVWithNamesAndTypes",1,1
"20.3.18.10","Vertical",0,1
"20.3.18.10","PrettySpaceNoEscapes",0,1
"20.3.18.10","CapnProto",1,0
"20.3.18.10","JSONEachRow",1,1
"20.3.18.10","Native",1,1
"20.3.18.10","TSKV",1,1
