"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.4.6.55","PostgreSQL",0,0,0,0,0,0,0
"21.4.6.55","RabbitMQ",1,0,0,0,0,0,0
"21.4.6.55","Kafka",1,0,0,0,0,0,0
"21.4.6.55","MySQL",0,0,0,0,0,0,0
"21.4.6.55","HDFS",0,0,0,0,0,0,0
"21.4.6.55","S3",0,0,0,0,0,0,0
"21.4.6.55","MaterializedView",0,0,0,0,0,0,0
"21.4.6.55","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.4.6.55","View",0,0,0,0,0,0,0
"21.4.6.55","JDBC",0,0,0,0,0,0,0
"21.4.6.55","Join",1,0,0,0,0,0,0
"21.4.6.55","Set",1,0,0,0,0,0,0
"21.4.6.55","Dictionary",0,0,0,0,0,0,0
"21.4.6.55","GenerateRandom",0,0,0,0,0,0,0
"21.4.6.55","LiveView",0,0,0,0,0,0,0
"21.4.6.55","MergeTree",1,1,1,1,0,0,1
"21.4.6.55","Memory",1,0,0,0,0,0,1
"21.4.6.55","Buffer",0,0,0,0,0,0,1
"21.4.6.55","MongoDB",0,0,0,0,0,0,0
"21.4.6.55","URL",1,0,0,0,0,0,0
"21.4.6.55","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.4.6.55","ReplacingMergeTree",1,1,1,1,0,0,1
"21.4.6.55","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.4.6.55","COSN",0,0,0,0,0,0,0
"21.4.6.55","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.4.6.55","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.4.6.55","File",1,0,0,0,0,0,0
"21.4.6.55","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.4.6.55","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.4.6.55","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.4.6.55","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.4.6.55","SummingMergeTree",1,1,1,1,0,0,1
"21.4.6.55","Distributed",1,0,0,0,0,0,1
"21.4.6.55","TinyLog",1,0,0,0,0,0,0
"21.4.6.55","GraphiteMergeTree",1,1,1,1,0,0,1
"21.4.6.55","CollapsingMergeTree",1,1,1,1,0,0,1
"21.4.6.55","Merge",0,0,0,0,0,0,0
"21.4.6.55","AggregatingMergeTree",1,1,1,1,0,0,1
"21.4.6.55","ODBC",0,0,0,0,0,0,0
"21.4.6.55","Null",0,0,0,0,0,0,1
"21.4.6.55","StripeLog",1,0,0,0,0,0,0
"21.4.6.55","Log",1,0,0,0,0,0,0
