"ch_version","name","is_aggregate","case_insensitive","alias_to"
"21.3.5.42","aes_encrypt_mysql",0,0,""
"21.3.5.42","decrypt",0,0,""
"21.3.5.42","wordShingleMinHashArg",0,0,""
"21.3.5.42","ngramMinHashArgUTF8",0,0,""
"21.3.5.42","ngramMinHashArgCaseInsensitive",0,0,""
"21.3.5.42","wordShingleMinHashCaseInsensitiveUTF8",0,0,""
"21.3.5.42","wordShingleMinHashCaseInsensitive",0,0,""
"21.3.5.42","wordShingleMinHash",0,0,""
"21.3.5.42","ngramMinHashCaseInsensitiveUTF8",0,0,""
"21.3.5.42","wordShingleSimHashCaseInsensitiveUTF8",0,0,""
"21.3.5.42","wordShingleSimHashUTF8",0,0,""
"21.3.5.42","wordShingleSimHash",0,0,""
"21.3.5.42","ngramSimHashCaseInsensitiveUTF8",0,0,""
"21.3.5.42","ngramSimHashCaseInsensitive",0,0,""
"21.3.5.42","ngramSimHash",0,0,""
"21.3.5.42","tupleHammingDistance",0,0,""
"21.3.5.42","fromUnixTimestamp64Nano",0,0,""
"21.3.5.42","toUnixTimestamp64Nano",0,0,""
"21.3.5.42","toUnixTimestamp64Micro",0,0,""
"21.3.5.42","yandexConsistentHash",0,0,""
"21.3.5.42","demangle",0,0,""
"21.3.5.42","addressToLine",0,0,""
"21.3.5.42","JSONExtractRaw",0,0,""
"21.3.5.42","JSONExtractKeysAndValues",0,0,""
"21.3.5.42","JSONExtractString",0,0,""
"21.3.5.42","JSONExtractFloat",0,0,""
"21.3.5.42","JSONExtractInt",0,0,""
"21.3.5.42","JSONKey",0,0,""
"21.3.5.42","isZeroOrNull",0,0,""
"21.3.5.42","assumeNotNull",0,0,""
"21.3.5.42","fromUnixTimestamp64Micro",0,0,""
"21.3.5.42","isNotNull",0,0,""
"21.3.5.42","stringToH3",0,0,""
"21.3.5.42","h3IndexesAreNeighbors",0,0,""
"21.3.5.42","h3ToParent",0,0,""
"21.3.5.42","h3GetBaseCell",0,0,""
"21.3.5.42","wordShingleMinHashArgCaseInsensitiveUTF8",0,0,""
"21.3.5.42","h3GetResolution",0,0,""
"21.3.5.42","h3EdgeLengthM",0,0,""
"21.3.5.42","geoToH3",0,0,""
"21.3.5.42","geohashesInBox",0,0,""
"21.3.5.42","pointInPolygon",0,0,""
"21.3.5.42","greatCircleDistance",0,0,""
"21.3.5.42","sign",0,1,""
"21.3.5.42","atanh",0,0,""
"21.3.5.42","geohashEncode",0,0,""
"21.3.5.42","atan2",0,1,""
"21.3.5.42","acos",0,1,""
"21.3.5.42","h3kRing",0,0,""
"21.3.5.42","asin",0,1,""
"21.3.5.42","sin",0,1,""
"21.3.5.42","lgamma",0,0,""
"21.3.5.42","log2",0,1,""
"21.3.5.42","visitParamExtractFloat",0,0,""
"21.3.5.42","visitParamExtractInt",0,0,""
"21.3.5.42","visitParamHas",0,0,""
"21.3.5.42","sigmoid",0,0,""
"21.3.5.42","cutQueryStringAndFragment",0,0,""
"21.3.5.42","cutToFirstSignificantSubdomainCustom",0,0,""
"21.3.5.42","cutToFirstSignificantSubdomainWithWWW",0,0,""
"21.3.5.42","URLHierarchy",0,0,""
"21.3.5.42","extractURLParameterNames",0,0,""
"21.3.5.42","JSONExtractArrayRaw",0,0,""
"21.3.5.42","extractURLParameters",0,0,""
"21.3.5.42","path",0,0,""
"21.3.5.42","pathFull",0,0,""
"21.3.5.42","port",0,0,""
"21.3.5.42","firstSignificantSubdomainCustom",0,0,""
"21.3.5.42","domain",0,0,""
"21.3.5.42","ngramSearchCaseInsensitiveUTF8",0,0,""
"21.3.5.42","ngramDistanceCaseInsensitiveUTF8",0,0,""
"21.3.5.42","ngramDistance",0,0,""
"21.3.5.42","extractAllGroupsHorizontal",0,0,""
"21.3.5.42","extractAllGroupsVertical",0,0,""
"21.3.5.42","multiFuzzyMatchAllIndices",0,0,""
"21.3.5.42","multiFuzzyMatchAnyIndex",0,0,""
"21.3.5.42","toUnixTimestamp64Milli",0,0,""
"21.3.5.42","JSONExtractKeysAndValuesRaw",0,0,""
"21.3.5.42","multiMatchAnyIndex",0,0,""
