"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.2.8.31","PostgreSQL",0,0,0,0,0,0,0
"21.2.8.31","RabbitMQ",1,0,0,0,0,0,0
"21.2.8.31","Kafka",1,0,0,0,0,0,0
"21.2.8.31","MySQL",0,0,0,0,0,0,0
"21.2.8.31","HDFS",0,0,0,0,0,0,0
"21.2.8.31","S3",0,0,0,0,0,0,0
"21.2.8.31","MaterializedView",0,0,0,0,0,0,0
"21.2.8.31","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.2.8.31","View",0,0,0,0,0,0,0
"21.2.8.31","JDBC",0,0,0,0,0,0,0
"21.2.8.31","Join",1,0,0,0,0,0,0
"21.2.8.31","Set",1,0,0,0,0,0,0
"21.2.8.31","Dictionary",0,0,0,0,0,0,0
"21.2.8.31","GenerateRandom",0,0,0,0,0,0,0
"21.2.8.31","LiveView",0,0,0,0,0,0,0
"21.2.8.31","MergeTree",1,1,1,1,0,0,1
"21.2.8.31","Memory",0,0,0,0,0,0,1
"21.2.8.31","Buffer",0,0,0,0,0,0,1
"21.2.8.31","MongoDB",0,0,0,0,0,0,0
"21.2.8.31","URL",1,0,0,0,0,0,0
"21.2.8.31","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.2.8.31","ReplacingMergeTree",1,1,1,1,0,0,1
"21.2.8.31","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.2.8.31","COSN",0,0,0,0,0,0,0
"21.2.8.31","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.2.8.31","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.2.8.31","File",1,0,0,0,0,0,0
"21.2.8.31","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.2.8.31","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.2.8.31","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.2.8.31","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.2.8.31","SummingMergeTree",1,1,1,1,0,0,1
"21.2.8.31","Distributed",1,0,0,0,0,0,1
"21.2.8.31","TinyLog",1,0,0,0,0,0,0
"21.2.8.31","GraphiteMergeTree",1,1,1,1,0,0,1
"21.2.8.31","CollapsingMergeTree",1,1,1,1,0,0,1
"21.2.8.31","Merge",0,0,0,0,0,0,0
"21.2.8.31","AggregatingMergeTree",1,1,1,1,0,0,1
"21.2.8.31","ODBC",0,0,0,0,0,0,0
"21.2.8.31","Null",0,0,0,0,0,0,1
"21.2.8.31","StripeLog",1,0,0,0,0,0,0
"21.2.8.31","Log",1,0,0,0,0,0,0
