"ch_version","name","is_aggregate","case_insensitive","alias_to"
"19.11.14.1","JSONExtract",0,0,""
"19.11.14.1","JSONExtractString",0,0,""
"19.11.14.1","JSONExtractBool",0,0,""
"19.11.14.1","JSONExtractFloat",0,0,""
"19.11.14.1","JSONExtractUInt",0,0,""
"19.11.14.1","JSONKey",0,0,""
"19.11.14.1","JSONLength",0,0,""
"19.11.14.1","assumeNotNull",0,0,""
"19.11.14.1","nullIf",0,1,""
"19.11.14.1","coalesce",0,1,""
"19.11.14.1","isNotNull",0,0,""
"19.11.14.1","isNull",0,0,""
"19.11.14.1","geoToH3",0,0,""
"19.11.14.1","geohashEncode",0,0,""
"19.11.14.1","pointInPolygon",0,0,""
"19.11.14.1","greatCircleDistance",0,0,""
"19.11.14.1","pow",0,1,""
"19.11.14.1","acos",0,1,""
"19.11.14.1","findClusterValue",0,0,""
"19.11.14.1","asin",0,1,""
"19.11.14.1","ifNull",0,1,""
"19.11.14.1","tan",0,1,""
"19.11.14.1","cos",0,1,""
"19.11.14.1","sin",0,1,""
"19.11.14.1","tgamma",0,0,""
"19.11.14.1","lgamma",0,0,""
"19.11.14.1","erfc",0,0,""
"19.11.14.1","cbrt",0,0,""
"19.11.14.1","log10",0,1,""
"19.11.14.1","log",0,1,""
"19.11.14.1","exp",0,1,""
"19.11.14.1","pi",0,1,""
"19.11.14.1","e",0,0,""
"19.11.14.1","visitParamExtractString",0,0,""
"19.11.14.1","visitParamExtractFloat",0,0,""
"19.11.14.1","visitParamExtractInt",0,0,""
"19.11.14.1","decodeURLComponent",0,0,""
"19.11.14.1","exp2",0,0,""
"19.11.14.1","cutURLParameter",0,0,""
"19.11.14.1","cutQueryString",0,0,""
"19.11.14.1","cutToFirstSignificantSubdomain",0,0,""
"19.11.14.1","exp10",0,0,""
"19.11.14.1","queryStringAndFragment",0,0,""
"19.11.14.1","fragment",0,0,""
"19.11.14.1","pathFull",0,0,""
"19.11.14.1","topLevelDomain",0,0,""
"19.11.14.1","domainWithoutWWW",0,0,""
"19.11.14.1","domain",0,0,""
"19.11.14.1","protocol",0,0,""
"19.11.14.1","ngramSearchCaseInsensitiveUTF8",0,0,""
"19.11.14.1","ngramSearchCaseInsensitive",0,0,""
"19.11.14.1","ngramDistanceUTF8",0,0,""
"19.11.14.1","multiFuzzyMatchAnyIndex",0,0,""
"19.11.14.1","multiMatchAny",0,0,""
"19.11.14.1","replaceRegexpAll",0,0,""
"19.11.14.1","replaceAll",0,0,""
"19.11.14.1","replaceOne",0,0,""
"19.11.14.1","like",0,0,""
"19.11.14.1","multiSearchFirstPositionCaseInsensitiveUTF8",0,0,""
"19.11.14.1","multiSearchFirstPositionUTF8",0,0,""
"19.11.14.1","erf",0,0,""
"19.11.14.1","multiSearchAnyCaseInsensitiveUTF8",0,0,""
"19.11.14.1","multiSearchAnyUTF8",0,0,""
"19.11.14.1","multiSearchAllPositionsCaseInsensitive",0,0,""
"19.11.14.1","JSONHas",0,0,""
"19.11.14.1","toNullable",0,0,""
"19.11.14.1","multiSearchAllPositions",0,0,""
"19.11.14.1","positionCaseInsensitive",0,0,""
"19.11.14.1","positionUTF8",0,0,""
"19.11.14.1","position",0,1,""
"19.11.14.1","arrayStringConcat",0,0,""
"19.11.14.1","ngramDistance",0,0,""
"19.11.14.1","splitByString",0,0,""
"19.11.14.1","alphaTokens",0,0,""
"19.11.14.1","tryBase64Decode",0,0,""
"19.11.14.1","base64Decode",0,0,""
"19.11.14.1","base64Encode",0,0,""
"19.11.14.1","trimBoth",0,0,""
"19.11.14.1","endsWith",0,0,""
"19.11.14.1","multiSearchAnyCaseInsensitive",0,0,""
"19.11.14.1","startsWith",0,0,""
"19.11.14.1","appendTrailingCharIfAbsent",0,0,""
"19.11.14.1","visitParamHas",0,0,""
"19.11.14.1","substringUTF8",0,0,""
"19.11.14.1","format",0,0,""
"19.11.14.1","concat",0,1,""
"19.11.14.1","reverseUTF8",0,0,""
"19.11.14.1","CRC32",0,1,""
"19.11.14.1","reverse",0,1,""
"19.11.14.1","replaceRegexpOne",0,0,""
"19.11.14.1","extract",0,0,""
"19.11.14.1","upperUTF8",0,0,""
"19.11.14.1","upper",0,1,""
"19.11.14.1","lower",0,1,""
"19.11.14.1","CHARACTER_LENGTH",0,1,""
"19.11.14.1","visitParamExtractRaw",0,0,""
"19.11.14.1","CHAR_LENGTH",0,1,""
"19.11.14.1","ngramDistanceCaseInsensitive",0,0,""
"19.11.14.1","lengthUTF8",0,0,""
"19.11.14.1","length",0,1,""
"19.11.14.1","notEmpty",0,0,""
"19.11.14.1","toMonday",0,0,""
"19.11.14.1","toISOYear",0,0,""
"19.11.14.1","toStartOfDay",0,0,""
"19.11.14.1","toDayOfYear",0,0,""
"19.11.14.1","dictGetInt8OrDefault",0,0,""
