"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.3.4.10","Kafka",1,0,0,0,0,0
"20.3.4.10","MySQL",0,0,0,0,0,0
"20.3.4.10","HDFS",0,0,0,0,0,0
"20.3.4.10","S3",0,0,0,0,0,0
"20.3.4.10","MaterializedView",0,0,0,0,0,0
"20.3.4.10","View",0,0,0,0,0,0
"20.3.4.10","JDBC",0,0,0,0,0,0
"20.3.4.10","Join",1,0,0,0,0,0
"20.3.4.10","Set",0,0,0,0,0,0
"20.3.4.10","Dictionary",0,0,0,0,0,0
"20.3.4.10","GenerateRandom",0,0,0,0,0,0
"20.3.4.10","LiveView",0,0,0,0,0,0
"20.3.4.10","MergeTree",1,1,1,1,0,0
"20.3.4.10","Memory",0,0,0,0,0,0
"20.3.4.10","Buffer",0,0,0,0,0,0
"20.3.4.10","URL",0,0,0,0,0,0
"20.3.4.10","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.3.4.10","ReplacingMergeTree",1,1,1,1,0,0
"20.3.4.10","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.3.4.10","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.3.4.10","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.3.4.10","File",0,0,0,0,0,0
"20.3.4.10","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.3.4.10","ReplicatedMergeTree",1,1,1,1,1,1
"20.3.4.10","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.3.4.10","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.3.4.10","SummingMergeTree",1,1,1,1,0,0
"20.3.4.10","Distributed",0,0,0,0,0,0
"20.3.4.10","TinyLog",1,0,0,0,0,0
"20.3.4.10","GraphiteMergeTree",1,1,1,1,0,0
"20.3.4.10","CollapsingMergeTree",1,1,1,1,0,0
"20.3.4.10","Merge",0,0,0,0,0,0
"20.3.4.10","AggregatingMergeTree",1,1,1,1,0,0
"20.3.4.10","ODBC",0,0,0,0,0,0
"20.3.4.10","Null",0,0,0,0,0,0
"20.3.4.10","StripeLog",1,0,0,0,0,0
"20.3.4.10","Log",1,0,0,0,0,0
