"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.10.6.27","RabbitMQ",1,0,0,0,0,0
"20.10.6.27","Kafka",1,0,0,0,0,0
"20.10.6.27","MySQL",0,0,0,0,0,0
"20.10.6.27","HDFS",0,0,0,0,0,0
"20.10.6.27","S3",0,0,0,0,0,0
"20.10.6.27","MaterializedView",0,0,0,0,0,0
"20.10.6.27","View",0,0,0,0,0,0
"20.10.6.27","JDBC",0,0,0,0,0,0
"20.10.6.27","Join",1,0,0,0,0,0
"20.10.6.27","Set",1,0,0,0,0,0
"20.10.6.27","Dictionary",0,0,0,0,0,0
"20.10.6.27","GenerateRandom",0,0,0,0,0,0
"20.10.6.27","LiveView",0,0,0,0,0,0
"20.10.6.27","MergeTree",1,1,1,1,0,0
"20.10.6.27","Memory",0,0,0,0,0,0
"20.10.6.27","Buffer",0,0,0,0,0,0
"20.10.6.27","MongoDB",0,0,0,0,0,0
"20.10.6.27","URL",0,0,0,0,0,0
"20.10.6.27","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.10.6.27","ReplacingMergeTree",1,1,1,1,0,0
"20.10.6.27","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.10.6.27","COSN",0,0,0,0,0,0
"20.10.6.27","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.10.6.27","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.10.6.27","File",0,0,0,0,0,0
"20.10.6.27","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.10.6.27","ReplicatedMergeTree",1,1,1,1,1,1
"20.10.6.27","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.10.6.27","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.10.6.27","SummingMergeTree",1,1,1,1,0,0
"20.10.6.27","Distributed",0,0,0,0,0,0
"20.10.6.27","TinyLog",1,0,0,0,0,0
"20.10.6.27","GraphiteMergeTree",1,1,1,1,0,0
"20.10.6.27","CollapsingMergeTree",1,1,1,1,0,0
"20.10.6.27","Merge",0,0,0,0,0,0
"20.10.6.27","AggregatingMergeTree",1,1,1,1,0,0
"20.10.6.27","ODBC",0,0,0,0,0,0
"20.10.6.27","Null",0,0,0,0,0,0
"20.10.6.27","StripeLog",1,0,0,0,0,0
"20.10.6.27","Log",1,0,0,0,0,0
