"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.7.2.30","RabbitMQ",1,0,0,0,0,0
"20.7.2.30","Kafka",1,0,0,0,0,0
"20.7.2.30","MySQL",0,0,0,0,0,0
"20.7.2.30","HDFS",0,0,0,0,0,0
"20.7.2.30","S3",0,0,0,0,0,0
"20.7.2.30","MaterializedView",0,0,0,0,0,0
"20.7.2.30","View",0,0,0,0,0,0
"20.7.2.30","JDBC",0,0,0,0,0,0
"20.7.2.30","Join",1,0,0,0,0,0
"20.7.2.30","Set",0,0,0,0,0,0
"20.7.2.30","Dictionary",0,0,0,0,0,0
"20.7.2.30","GenerateRandom",0,0,0,0,0,0
"20.7.2.30","LiveView",0,0,0,0,0,0
"20.7.2.30","MergeTree",1,1,1,1,0,0
"20.7.2.30","Memory",0,0,0,0,0,0
"20.7.2.30","Buffer",0,0,0,0,0,0
"20.7.2.30","MongoDB",0,0,0,0,0,0
"20.7.2.30","URL",0,0,0,0,0,0
"20.7.2.30","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.7.2.30","ReplacingMergeTree",1,1,1,1,0,0
"20.7.2.30","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.7.2.30","COSN",0,0,0,0,0,0
"20.7.2.30","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.7.2.30","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.7.2.30","File",0,0,0,0,0,0
"20.7.2.30","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.7.2.30","ReplicatedMergeTree",1,1,1,1,1,1
"20.7.2.30","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.7.2.30","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.7.2.30","SummingMergeTree",1,1,1,1,0,0
"20.7.2.30","Distributed",0,0,0,0,0,0
"20.7.2.30","TinyLog",1,0,0,0,0,0
"20.7.2.30","GraphiteMergeTree",1,1,1,1,0,0
"20.7.2.30","CollapsingMergeTree",1,1,1,1,0,0
"20.7.2.30","Merge",0,0,0,0,0,0
"20.7.2.30","AggregatingMergeTree",1,1,1,1,0,0
"20.7.2.30","ODBC",0,0,0,0,0,0
"20.7.2.30","Null",0,0,0,0,0,0
"20.7.2.30","StripeLog",1,0,0,0,0,0
"20.7.2.30","Log",1,0,0,0,0,0
