"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"26.5.6.113","GCS",1,0,0,1,0,0,0,0
"26.5.6.113","OSS",1,0,0,1,0,0,0,0
"26.5.6.113","AzureBlobStorage",1,0,0,1,0,0,0,0
"26.5.6.113","KeeperMap",0,0,0,1,0,0,0,1
"26.5.6.113","S3",1,0,0,1,0,0,0,0
"26.5.6.113","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"26.5.6.113","PostgreSQL",0,0,0,0,0,0,0,0
"26.5.6.113","NATS",1,0,0,0,0,0,0,0
"26.5.6.113","COSN",1,0,0,1,0,0,0,0
"26.5.6.113","Redis",0,0,0,1,0,0,0,1
"26.5.6.113","YTsaurus",1,0,0,0,0,0,0,0
"26.5.6.113","MongoDB",0,0,0,0,0,0,0,0
"26.5.6.113","DeltaLakeAzure",1,0,0,0,0,0,0,0
"26.5.6.113","DeltaLakeS3",1,0,0,0,0,0,0,0
"26.5.6.113","S3Queue",1,0,0,0,0,0,0,0
"26.5.6.113","Hudi",0,0,0,0,0,0,0,0
"26.5.6.113","PaimonLocal",1,0,0,0,0,0,0,0
"26.5.6.113","MySQL",1,0,0,0,0,0,0,0
"26.5.6.113","PaimonAzure",1,0,0,0,0,0,0,0
"26.5.6.113","Distributed",1,0,0,0,0,0,0,1
"26.5.6.113","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","ExecutablePool",1,0,0,0,0,0,0,0
"26.5.6.113","IcebergLocal",1,0,0,1,0,0,0,0
"26.5.6.113","View",0,0,0,0,0,0,0,0
"26.5.6.113","FuzzQuery",0,0,0,0,0,0,0,0
"26.5.6.113","Alias",0,0,0,0,0,0,0,0
"26.5.6.113","Loop",0,0,0,0,0,0,0,0
"26.5.6.113","MaterializedView",0,0,0,0,0,0,0,0
"26.5.6.113","Join",1,0,0,0,0,0,0,0
"26.5.6.113","Executable",1,0,0,0,0,0,0,0
"26.5.6.113","Kafka",1,0,0,0,0,0,0,0
"26.5.6.113","Set",1,0,0,0,0,0,0,0
"26.5.6.113","Dictionary",0,0,0,0,0,0,0,0
"26.5.6.113","IcebergS3",1,0,0,1,0,0,0,0
"26.5.6.113","Iceberg",1,0,0,1,0,0,0,0
"26.5.6.113","Memory",1,0,0,0,0,0,0,1
"26.5.6.113","Merge",0,0,0,0,0,0,0,0
"26.5.6.113","ODBC",0,0,0,0,0,0,0,0
"26.5.6.113","Hive",1,0,0,1,0,0,0,0
"26.5.6.113","ArrowFlight",0,0,0,0,0,0,0,0
"26.5.6.113","URL",1,0,0,0,0,0,0,0
"26.5.6.113","File",1,0,0,0,0,0,0,0
"26.5.6.113","Log",1,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedCoalescingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","SQLite",0,0,0,0,0,0,0,0
"26.5.6.113","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","ReplacingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","TimeSeries",1,0,0,0,0,0,0,0
"26.5.6.113","HDFS",1,0,0,1,0,0,0,0
"26.5.6.113","EmbeddedRocksDB",1,0,0,1,1,0,0,1
"26.5.6.113","DeltaLakeLocal",1,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","IcebergHDFS",1,0,0,1,0,0,0,0
"26.5.6.113","PaimonS3",1,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","IcebergAzure",1,0,0,1,0,0,0,0
"26.5.6.113","DeltaLake",1,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","JDBC",0,0,0,0,0,0,0,0
"26.5.6.113","SummingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","TinyLog",1,0,0,0,0,0,0,0
"26.5.6.113","FuzzJSON",0,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","WindowView",0,0,0,0,0,0,0,0
"26.5.6.113","Null",0,0,0,0,0,0,0,1
"26.5.6.113","Paimon",1,0,0,0,0,0,0,0
"26.5.6.113","CoalescingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","PaimonHDFS",1,0,0,0,0,0,0,0
"26.5.6.113","GenerateRandom",0,0,0,0,0,0,0,0
"26.5.6.113","MergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","GraphiteMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","CollapsingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","FileLog",1,0,0,0,0,0,0,0
"26.5.6.113","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"26.5.6.113","RabbitMQ",1,0,0,0,0,0,0,0
"26.5.6.113","Buffer",0,0,0,0,0,0,0,1
"26.5.6.113","AzureQueue",1,0,0,0,0,0,0,0
"26.5.6.113","AggregatingMergeTree",1,1,1,1,1,0,0,1
"26.5.6.113","StripeLog",1,0,0,0,0,0,0,0
