"ch_version","name","is_aggregate","case_insensitive","alias_to","create_query"
"21.10.3.9","readWktPolygon",0,0,"",""
"21.10.3.9","notILike",0,0,"",""
"21.10.3.9","geohashDecode",0,0,"",""
"21.10.3.9","toModifiedJulianDay",0,0,"",""
"21.10.3.9","notLike",0,0,"",""
"21.10.3.9","countSubstringsCaseInsensitive",0,0,"",""
"21.10.3.9","IPv4StringToNum",0,0,"",""
"21.10.3.9","positionUTF8",0,0,"",""
"21.10.3.9","hasToken",0,0,"",""
"21.10.3.9","dictGetDate",0,0,"",""
"21.10.3.9","multiSearchFirstPosition",0,0,"",""
"21.10.3.9","multiSearchFirstIndexCaseInsensitiveUTF8",0,0,"",""
"21.10.3.9","atan",0,1,"",""
"21.10.3.9","rowNumberInAllBlocks",0,0,"",""
"21.10.3.9","multiSearchFirstIndexCaseInsensitive",0,0,"",""
"21.10.3.9","multiSearchAnyUTF8",0,0,"",""
"21.10.3.9","parseDateTime32BestEffortOrZero",0,0,"",""
"21.10.3.9","blockNumber",0,0,"",""
"21.10.3.9","cutURLParameter",0,0,"",""
"21.10.3.9","multiSearchFirstPositionCaseInsensitive",0,0,"",""
"21.10.3.9","positionCaseInsensitiveUTF8",0,0,"",""
"21.10.3.9","positionCaseInsensitive",0,0,"",""
"21.10.3.9","splitByRegexp",0,0,"",""
"21.10.3.9","toInt256OrZero",0,0,"",""
"21.10.3.9","pointInPolygon",0,0,"",""
"21.10.3.9","splitByWhitespace",0,0,"",""
"21.10.3.9","lemmatize",0,1,"",""
"21.10.3.9","synonyms",0,1,"",""
"21.10.3.9","tryBase64Decode",0,0,"",""
"21.10.3.9","multiSearchAllPositions",0,0,"",""
"21.10.3.9","FROM_BASE64",0,1,"",""
"21.10.3.9","replaceRegexpOne",0,0,"",""
"21.10.3.9","subBitmap",0,0,"",""
"21.10.3.9","defaultValueOfArgumentType",0,0,"",""
"21.10.3.9","base64Decode",0,0,"",""
"21.10.3.9","regionToContinent",0,0,"",""
"21.10.3.9","ilike",0,0,"",""
"21.10.3.9","fromModifiedJulianDay",0,0,"",""
"21.10.3.9","TO_BASE64",0,1,"",""
"21.10.3.9","dictIsIn",0,0,"",""
"21.10.3.9","base64Encode",0,0,"",""
"21.10.3.9","decodeXMLComponent",0,0,"",""
"21.10.3.9","countMatchesCaseInsensitive",0,0,"",""
"21.10.3.9","normalizeQuery",0,0,"",""
"21.10.3.9","erf",0,0,"",""
"21.10.3.9","trimBoth",0,0,"",""
"21.10.3.9","fromUnixTimestamp64Nano",0,0,"",""
"21.10.3.9","lessOrEquals",0,0,"",""
"21.10.3.9","subtractQuarters",0,0,"",""
"21.10.3.9","ngramSearch",0,0,"",""
"21.10.3.9","readWktRing",0,0,"",""
"21.10.3.9","trimRight",0,0,"",""
"21.10.3.9","endsWith",0,0,"",""
"21.10.3.9","ngramDistanceCaseInsensitive",0,0,"",""
"21.10.3.9","connectionId",0,1,"",""
"21.10.3.9","initialQueryID",0,0,"",""
"21.10.3.9","startsWith",0,0,"",""
"21.10.3.9","tan",0,1,"",""
"21.10.3.9","substring",0,1,"",""
"21.10.3.9","formatRow",0,0,"",""
"21.10.3.9","dictGetHierarchy",0,0,"",""
"21.10.3.9","notEmpty",0,0,"",""
"21.10.3.9","format",0,0,"",""
"21.10.3.9","murmurHash3_64",0,0,"",""
"21.10.3.9","reverseUTF8",0,0,"",""
"21.10.3.9","arrayEnumerateUniqRanked",0,0,"",""
"21.10.3.9","CRC64",0,1,"",""
"21.10.3.9","pow",0,1,"",""
"21.10.3.9","toInt16",0,0,"",""
"21.10.3.9","reverse",0,1,"",""
"21.10.3.9","lower",0,1,"",""
"21.10.3.9","toStartOfDay",0,0,"",""
"21.10.3.9","caseWithoutExpr",0,0,"",""
"21.10.3.9","CHAR_LENGTH",0,1,"",""
"21.10.3.9","lengthUTF8",0,0,"",""
"21.10.3.9","length",0,1,"",""
"21.10.3.9","bitTestAny",0,0,"",""
"21.10.3.9","floor",0,1,"",""
"21.10.3.9","round",0,1,"",""
"21.10.3.9","reinterpretAsFixedString",0,0,"",""
"21.10.3.9","reinterpretAsString",0,0,"",""
"21.10.3.9","h3ToChildren",0,0,"",""
"21.10.3.9","emptyArrayToSingle",0,0,"",""
"21.10.3.9","tgamma",0,0,"",""
"21.10.3.9","reinterpretAsInt128",0,0,"",""
"21.10.3.9","visitParamExtractRaw",0,0,"",""
"21.10.3.9","reinterpretAsInt64",0,0,"",""
"21.10.3.9","reinterpretAsUInt32",0,0,"",""
"21.10.3.9","reinterpretAsUInt16",0,0,"",""
"21.10.3.9","fuzzBits",0,0,"",""
"21.10.3.9","randomFixedString",0,0,"",""
"21.10.3.9","tupleHammingDistance",0,0,"",""
"21.10.3.9","JSONExtractBool",0,0,"",""
"21.10.3.9","ngramSearchUTF8",0,0,"",""
"21.10.3.9","generateUUIDv4",0,0,"",""
"21.10.3.9","multiSearchAllPositionsCaseInsensitive",0,0,"",""
"21.10.3.9","randConstant",0,0,"",""
"21.10.3.9","leftPad",0,0,"",""
"21.10.3.9","convertCharset",0,0,"",""
"21.10.3.9","serverUUID",0,0,"",""
"21.10.3.9","firstSignificantSubdomain",0,0,"",""
"21.10.3.9","rand64",0,0,"",""
"21.10.3.9","JSON_EXISTS",0,0,"",""
"21.10.3.9","isIPAddressInRange",0,0,"",""
"21.10.3.9","wordShingleSimHashCaseInsensitive",0,0,"",""
"21.10.3.9","parseDateTime32BestEffortOrNull",0,0,"",""
"21.10.3.9","cutToFirstSignificantSubdomainWithWWW",0,0,"",""
"21.10.3.9","roundToExp2",0,0,"",""
"21.10.3.9","mapSubtract",0,0,"",""
"21.10.3.9","partitionId",0,0,"",""
"21.10.3.9","intExp2",0,0,"",""
"21.10.3.9","byteSize",0,0,"",""
"21.10.3.9","errorCodeToName",0,0,"",""
"21.10.3.9","toDateTime64",0,0,"",""
"21.10.3.9","yesterday",0,0,"",""
"21.10.3.9","initializeAggregation",0,0,"",""
"21.10.3.9","globalVariable",0,0,"",""
"21.10.3.9","countDigits",0,0,"",""
"21.10.3.9","toStartOfHour",0,0,"",""
"21.10.3.9","toWeek",0,0,"",""
"21.10.3.9","isDecimalOverflow",0,0,"",""
"21.10.3.9","visitParamExtractString",0,0,"",""
"21.10.3.9","isConstant",0,0,"",""
"21.10.3.9","getSetting",0,0,"",""
"21.10.3.9","shardNum",0,0,"",""
"21.10.3.9","__getScalar",0,0,"",""
"21.10.3.9","position",0,1,"",""
"21.10.3.9","__bitBoolMaskOr",0,0,"",""
"21.10.3.9","cosh",0,0,"",""
"21.10.3.9","basename",0,0,"",""
"21.10.3.9","evalMLMethod",0,0,"",""
"21.10.3.9","filesystemFree",0,0,"",""
"21.10.3.9","filesystemCapacity",0,0,"",""
"21.10.3.9","reinterpretAsDate",0,0,"",""
"21.10.3.9","filesystemAvailable",0,0,"",""
"21.10.3.9","joinGet",0,0,"",""
"21.10.3.9","globalNullInIgnoreSet",0,0,"",""
"21.10.3.9","globalNotInIgnoreSet",0,0,"",""
"21.10.3.9","toRelativeDayNum",0,0,"",""
"21.10.3.9","splitByChar",0,0,"",""
"21.10.3.9","notInIgnoreSet",0,0,"",""
"21.10.3.9","globalInIgnoreSet",0,0,"",""
"21.10.3.9","notNullIn",0,0,"",""
"21.10.3.9","ngramSearchCaseInsensitive",0,0,"",""
"21.10.3.9","notIn",0,0,"",""
"21.10.3.9","trunc",0,1,"",""
"21.10.3.9","JSONExtractArrayRaw",0,0,"",""
"21.10.3.9","version",0,1,"",""
"21.10.3.9","joinGetOrNull",0,0,"",""
"21.10.3.9","globalIn",0,0,"",""
"21.10.3.9","toDate32",0,0,"",""
"21.10.3.9","lowCardinalityIndices",0,0,"",""
"21.10.3.9","toLowCardinality",0,0,"",""
"21.10.3.9","runningConcurrency",0,0,"",""
"21.10.3.9","runningDifferenceStartingWithFirstValue",0,0,"",""
