"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"22.3.18.37","SQLite",0,0,0,0,0,0,0,0
"22.3.18.37","ExternalDistributed",0,0,0,0,0,0,0,0
"22.3.18.37","RabbitMQ",1,0,0,0,0,0,0,0
"22.3.18.37","PostgreSQL",0,0,0,0,0,0,0,0
"22.3.18.37","Dictionary",0,0,0,0,0,0,0,0
"22.3.18.37","FileLog",1,0,0,0,0,0,0,0
"22.3.18.37","MySQL",1,0,0,0,0,0,0,0
"22.3.18.37","HDFS",0,0,0,1,0,0,0,0
"22.3.18.37","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"22.3.18.37","S3",1,0,0,1,0,0,0,0
"22.3.18.37","Kafka",1,0,0,0,0,0,0,0
"22.3.18.37","WindowView",0,0,0,0,0,0,0,0
"22.3.18.37","Distributed",1,0,0,0,0,0,0,1
"22.3.18.37","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","ExecutablePool",1,0,0,0,0,0,0,0
"22.3.18.37","MaterializedView",0,0,0,0,0,0,0,0
"22.3.18.37","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","EmbeddedRocksDB",0,0,0,1,0,0,0,1
"22.3.18.37","View",0,0,0,0,0,0,0,0
"22.3.18.37","JDBC",0,0,0,0,0,0,0,0
"22.3.18.37","Join",1,0,0,0,0,0,0,0
"22.3.18.37","Executable",1,0,0,0,0,0,0,0
"22.3.18.37","Set",1,0,0,0,0,0,0,0
"22.3.18.37","GenerateRandom",0,0,0,0,0,0,0,0
"22.3.18.37","LiveView",0,0,0,0,0,0,0,0
"22.3.18.37","MergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","Memory",1,0,0,0,0,0,0,1
"22.3.18.37","Buffer",0,0,0,0,0,0,0,1
"22.3.18.37","MongoDB",0,0,0,0,0,0,0,0
"22.3.18.37","URL",1,0,0,0,0,0,0,0
"22.3.18.37","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","Hive",1,0,0,1,0,0,0,0
"22.3.18.37","ReplacingMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","COSN",1,0,0,1,0,0,0,0
"22.3.18.37","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","File",1,0,0,0,0,0,0,0
"22.3.18.37","TinyLog",1,0,0,0,0,0,0,0
"22.3.18.37","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"22.3.18.37","SummingMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","GraphiteMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","CollapsingMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","Merge",0,0,0,0,0,0,0,0
"22.3.18.37","AggregatingMergeTree",1,1,1,1,1,0,0,1
"22.3.18.37","ODBC",0,0,0,0,0,0,0,0
"22.3.18.37","Null",0,0,0,0,0,0,0,1
"22.3.18.37","StripeLog",1,0,0,0,0,0,0,0
"22.3.18.37","Log",1,0,0,0,0,0,0,0
