"ch_version","name","case_insensitive","alias_to"
"25.4.3.22","JSON",1,""
"25.4.3.22","Dynamic",0,""
"25.4.3.22","Object",0,""
"25.4.3.22","Polygon",0,""
"25.4.3.22","Ring",0,""
"25.4.3.22","Point",0,""
"25.4.3.22","SimpleAggregateFunction",0,""
"25.4.3.22","IntervalYear",0,""
"25.4.3.22","IntervalMonth",0,""
"25.4.3.22","IntervalWeek",0,""
"25.4.3.22","IntervalDay",0,""
"25.4.3.22","Enum",1,""
"25.4.3.22","IntervalMillisecond",0,""
"25.4.3.22","Int64",0,""
"25.4.3.22","IntervalMicrosecond",0,""
"25.4.3.22","MultiLineString",0,""
"25.4.3.22","IntervalNanosecond",0,""
"25.4.3.22","Nested",0,""
"25.4.3.22","LowCardinality",0,""
"25.4.3.22","Decimal",1,""
"25.4.3.22","AggregateFunction",0,""
"25.4.3.22","Float64",0,""
"25.4.3.22","IntervalHour",0,""
"25.4.3.22","IPv6",0,""
"25.4.3.22","Variant",0,""
"25.4.3.22","IPv4",0,""
"25.4.3.22","UUID",0,""
"25.4.3.22","Nothing",0,""
"25.4.3.22","UInt32",0,""
"25.4.3.22","DateTime",1,""
"25.4.3.22","Nullable",0,""
"25.4.3.22","Tuple",0,""
"25.4.3.22","IntervalMinute",0,""
"25.4.3.22","FixedString",0,""
"25.4.3.22","String",0,""
"25.4.3.22","DateTime64",1,""
"25.4.3.22","IntervalQuarter",0,""
"25.4.3.22","Date",1,""
"25.4.3.22","Int16",0,""
"25.4.3.22","Decimal128",1,""
"25.4.3.22","Array",0,""
"25.4.3.22","DateTime32",1,""
"25.4.3.22","Date32",1,""
"25.4.3.22","UInt256",0,""
"25.4.3.22","Int8",0,""
"25.4.3.22","Decimal64",1,""
"25.4.3.22","Int256",0,""
"25.4.3.22","Bool",1,""
"25.4.3.22","Int128",0,""
"25.4.3.22","Enum8",0,""
"25.4.3.22","UInt64",0,""
"25.4.3.22","Float32",0,""
"25.4.3.22","BFloat16",0,""
"25.4.3.22","Enum16",0,""
"25.4.3.22","MultiPolygon",0,""
"25.4.3.22","LineString",0,""
"25.4.3.22","UInt128",0,""
"25.4.3.22","UInt16",0,""
"25.4.3.22","Map",0,""
"25.4.3.22","UInt8",0,""
"25.4.3.22","Decimal256",1,""
"25.4.3.22","IntervalSecond",0,""
"25.4.3.22","Int32",0,""
"25.4.3.22","Decimal32",1,""
"25.4.3.22","bool",1,"Bool"
"25.4.3.22","BINARY",1,"FixedString"
"25.4.3.22","GEOMETRY",1,"String"
"25.4.3.22","INET6",1,"IPv6"
"25.4.3.22","NATIONAL CHAR VARYING",1,"String"
"25.4.3.22","BINARY VARYING",1,"String"
"25.4.3.22","NCHAR LARGE OBJECT",1,"String"
"25.4.3.22","NATIONAL CHARACTER VARYING",1,"String"
"25.4.3.22","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"25.4.3.22","NATIONAL CHAR",1,"String"
"25.4.3.22","CHAR LARGE OBJECT",1,"String"
"25.4.3.22","CHARACTER VARYING",1,"String"
"25.4.3.22","NATIONAL CHARACTER",1,"String"
"25.4.3.22","LONGBLOB",1,"String"
"25.4.3.22","CHAR VARYING",1,"String"
"25.4.3.22","MEDIUMBLOB",1,"String"
"25.4.3.22","INET4",1,"IPv4"
"25.4.3.22","CLOB",1,"String"
"25.4.3.22","INTEGER",1,"Int32"
"25.4.3.22","LONGTEXT",1,"String"
"25.4.3.22","MEDIUMTEXT",1,"String"
"25.4.3.22","SMALLINT",1,"Int16"
"25.4.3.22","TINYTEXT",1,"String"
"25.4.3.22","NVARCHAR",1,"String"
"25.4.3.22","TINYBLOB",1,"String"
"25.4.3.22","CHARACTER",1,"String"
"25.4.3.22","ENUM",1,"Enum"
"25.4.3.22","CHAR",1,"String"
"25.4.3.22","SMALLINT UNSIGNED",1,"UInt16"
"25.4.3.22","SIGNED",1,"Int64"
"25.4.3.22","TIMESTAMP",1,"DateTime"
"25.4.3.22","BIT",1,"UInt64"
"25.4.3.22","FIXED",1,"Decimal"
"25.4.3.22","BYTE",1,"Int8"
"25.4.3.22","VARCHAR",1,"String"
"25.4.3.22","DEC",1,"Decimal"
"25.4.3.22","CHARACTER LARGE OBJECT",1,"String"
"25.4.3.22","DOUBLE PRECISION",1,"Float64"
"25.4.3.22","DOUBLE",1,"Float64"
"25.4.3.22","SINGLE",1,"Float32"
"25.4.3.22","INTEGER SIGNED",1,"Int32"
"25.4.3.22","REAL",1,"Float32"
"25.4.3.22","TINYINT",1,"Int8"
"25.4.3.22","BIGINT",1,"Int64"
"25.4.3.22","FLOAT",1,"Float32"
"25.4.3.22","SET",1,"UInt64"
"25.4.3.22","BIGINT UNSIGNED",1,"UInt64"
"25.4.3.22","TINYINT UNSIGNED",1,"UInt8"
"25.4.3.22","TEXT",1,"String"
"25.4.3.22","INTEGER UNSIGNED",1,"UInt32"
"25.4.3.22","TIME",1,"Int64"
"25.4.3.22","YEAR",1,"UInt16"
"25.4.3.22","BLOB",1,"String"
"25.4.3.22","INT1",1,"Int8"
"25.4.3.22","VARCHAR2",1,"String"
"25.4.3.22","INT1 UNSIGNED",1,"UInt8"
"25.4.3.22","NCHAR",1,"String"
"25.4.3.22","UNSIGNED",1,"UInt64"
"25.4.3.22","NCHAR VARYING",1,"String"
"25.4.3.22","INT SIGNED",1,"Int32"
"25.4.3.22","BIGINT SIGNED",1,"Int64"
"25.4.3.22","BINARY LARGE OBJECT",1,"String"
"25.4.3.22","SMALLINT SIGNED",1,"Int16"
"25.4.3.22","MEDIUMINT",1,"Int32"
"25.4.3.22","MEDIUMINT UNSIGNED",1,"UInt32"
"25.4.3.22","VARBINARY",1,"String"
"25.4.3.22","NUMERIC",1,"Decimal"
"25.4.3.22","BYTEA",1,"String"
"25.4.3.22","INT",1,"Int32"
"25.4.3.22","MEDIUMINT SIGNED",1,"Int32"
"25.4.3.22","boolean",1,"Bool"
"25.4.3.22","INT1 SIGNED",1,"Int8"
"25.4.3.22","INT UNSIGNED",1,"UInt32"
"25.4.3.22","TINYINT SIGNED",1,"Int8"
