"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.9.2.20","RabbitMQ",1,0,0,0,0,0
"20.9.2.20","Kafka",1,0,0,0,0,0
"20.9.2.20","MySQL",0,0,0,0,0,0
"20.9.2.20","HDFS",0,0,0,0,0,0
"20.9.2.20","S3",0,0,0,0,0,0
"20.9.2.20","MaterializedView",0,0,0,0,0,0
"20.9.2.20","View",0,0,0,0,0,0
"20.9.2.20","JDBC",0,0,0,0,0,0
"20.9.2.20","Join",1,0,0,0,0,0
"20.9.2.20","Set",0,0,0,0,0,0
"20.9.2.20","Dictionary",0,0,0,0,0,0
"20.9.2.20","GenerateRandom",0,0,0,0,0,0
"20.9.2.20","LiveView",0,0,0,0,0,0
"20.9.2.20","MergeTree",1,1,1,1,0,0
"20.9.2.20","Memory",0,0,0,0,0,0
"20.9.2.20","Buffer",0,0,0,0,0,0
"20.9.2.20","MongoDB",0,0,0,0,0,0
"20.9.2.20","URL",0,0,0,0,0,0
"20.9.2.20","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.9.2.20","ReplacingMergeTree",1,1,1,1,0,0
"20.9.2.20","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.9.2.20","COSN",0,0,0,0,0,0
"20.9.2.20","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.9.2.20","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.9.2.20","File",0,0,0,0,0,0
"20.9.2.20","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.9.2.20","ReplicatedMergeTree",1,1,1,1,1,1
"20.9.2.20","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.9.2.20","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.9.2.20","SummingMergeTree",1,1,1,1,0,0
"20.9.2.20","Distributed",0,0,0,0,0,0
"20.9.2.20","TinyLog",1,0,0,0,0,0
"20.9.2.20","GraphiteMergeTree",1,1,1,1,0,0
"20.9.2.20","CollapsingMergeTree",1,1,1,1,0,0
"20.9.2.20","Merge",0,0,0,0,0,0
"20.9.2.20","AggregatingMergeTree",1,1,1,1,0,0
"20.9.2.20","ODBC",0,0,0,0,0,0
"20.9.2.20","Null",0,0,0,0,0,0
"20.9.2.20","StripeLog",1,0,0,0,0,0
"20.9.2.20","Log",1,0,0,0,0,0
