"ch_version","name","case_insensitive","alias_to"
"25.8.16.10002.altinitystable","JSON",1,""
"25.8.16.10002.altinitystable","Dynamic",0,""
"25.8.16.10002.altinitystable","Object",0,""
"25.8.16.10002.altinitystable","Polygon",0,""
"25.8.16.10002.altinitystable","Ring",0,""
"25.8.16.10002.altinitystable","Point",0,""
"25.8.16.10002.altinitystable","SimpleAggregateFunction",0,""
"25.8.16.10002.altinitystable","IntervalYear",0,""
"25.8.16.10002.altinitystable","IntervalMonth",0,""
"25.8.16.10002.altinitystable","IntervalWeek",0,""
"25.8.16.10002.altinitystable","IntervalDay",0,""
"25.8.16.10002.altinitystable","Int64",0,""
"25.8.16.10002.altinitystable","IntervalMicrosecond",0,""
"25.8.16.10002.altinitystable","MultiLineString",0,""
"25.8.16.10002.altinitystable","IntervalNanosecond",0,""
"25.8.16.10002.altinitystable","Nested",0,""
"25.8.16.10002.altinitystable","LowCardinality",0,""
"25.8.16.10002.altinitystable","Decimal",1,""
"25.8.16.10002.altinitystable","AggregateFunction",0,""
"25.8.16.10002.altinitystable","Float64",0,""
"25.8.16.10002.altinitystable","IntervalHour",0,""
"25.8.16.10002.altinitystable","IPv6",0,""
"25.8.16.10002.altinitystable","Variant",0,""
"25.8.16.10002.altinitystable","IPv4",0,""
"25.8.16.10002.altinitystable","UUID",0,""
"25.8.16.10002.altinitystable","Nothing",0,""
"25.8.16.10002.altinitystable","UInt32",0,""
"25.8.16.10002.altinitystable","DateTime",1,""
"25.8.16.10002.altinitystable","Nullable",0,""
"25.8.16.10002.altinitystable","Tuple",0,""
"25.8.16.10002.altinitystable","IntervalMinute",0,""
"25.8.16.10002.altinitystable","FixedString",0,""
"25.8.16.10002.altinitystable","String",0,""
"25.8.16.10002.altinitystable","Enum",1,""
"25.8.16.10002.altinitystable","IntervalMillisecond",0,""
"25.8.16.10002.altinitystable","Time64",1,""
"25.8.16.10002.altinitystable","DateTime64",1,""
"25.8.16.10002.altinitystable","IntervalQuarter",0,""
"25.8.16.10002.altinitystable","Date",1,""
"25.8.16.10002.altinitystable","Int16",0,""
