"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"21.3.9.83","PostgreSQL",0,0,0,0,0,0,0
"21.3.9.83","RabbitMQ",1,0,0,0,0,0,0
"21.3.9.83","Kafka",1,0,0,0,0,0,0
"21.3.9.83","MySQL",0,0,0,0,0,0,0
"21.3.9.83","HDFS",0,0,0,0,0,0,0
"21.3.9.83","S3",0,0,0,0,0,0,0
"21.3.9.83","MaterializedView",0,0,0,0,0,0,0
"21.3.9.83","EmbeddedRocksDB",0,0,1,0,0,0,1
"21.3.9.83","View",0,0,0,0,0,0,0
"21.3.9.83","JDBC",0,0,0,0,0,0,0
"21.3.9.83","Join",1,0,0,0,0,0,0
"21.3.9.83","Set",1,0,0,0,0,0,0
"21.3.9.83","Dictionary",0,0,0,0,0,0,0
"21.3.9.83","GenerateRandom",0,0,0,0,0,0,0
"21.3.9.83","LiveView",0,0,0,0,0,0,0
"21.3.9.83","MergeTree",1,1,1,1,0,0,1
"21.3.9.83","Memory",1,0,0,0,0,0,1
"21.3.9.83","Buffer",0,0,0,0,0,0,1
"21.3.9.83","MongoDB",0,0,0,0,0,0,0
"21.3.9.83","URL",1,0,0,0,0,0,0
"21.3.9.83","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.9.83","ReplacingMergeTree",1,1,1,1,0,0,1
"21.3.9.83","ReplicatedSummingMergeTree",1,1,1,1,1,1,1
"21.3.9.83","COSN",0,0,0,0,0,0,0
"21.3.9.83","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1
"21.3.9.83","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1
"21.3.9.83","File",1,0,0,0,0,0,0
"21.3.9.83","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1
"21.3.9.83","ReplicatedMergeTree",1,1,1,1,1,1,1
"21.3.9.83","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1
"21.3.9.83","VersionedCollapsingMergeTree",1,1,1,1,0,0,1
"21.3.9.83","SummingMergeTree",1,1,1,1,0,0,1
"21.3.9.83","Distributed",1,0,0,0,0,0,1
"21.3.9.83","TinyLog",1,0,0,0,0,0,0
"21.3.9.83","GraphiteMergeTree",1,1,1,1,0,0,1
"21.3.9.83","CollapsingMergeTree",1,1,1,1,0,0,1
"21.3.9.83","Merge",0,0,0,0,0,0,0
"21.3.9.83","AggregatingMergeTree",1,1,1,1,0,0,1
"21.3.9.83","ODBC",0,0,0,0,0,0,0
"21.3.9.83","Null",0,0,0,0,0,0,1
"21.3.9.83","StripeLog",1,0,0,0,0,0,0
"21.3.9.83","Log",1,0,0,0,0,0,0
