"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly"
"25.3.6.10034.altinitystable","JSONEachRow",1,1,1,1,1
"25.3.6.10034.altinitystable","Pretty",0,1,0,0,1
"25.3.6.10034.altinitystable","TSVRawWithNames",1,1,1,1,1
"25.3.6.10034.altinitystable","TabSeparatedRaw",1,1,1,1,1
"25.3.6.10034.altinitystable","Regexp",1,0,1,0,1
"25.3.6.10034.altinitystable","TabSeparatedRawWithNamesAndTypes",1,1,1,1,1
"25.3.6.10034.altinitystable","MySQLWire",0,1,0,0,0
"25.3.6.10034.altinitystable","CSVWithNames",1,1,1,1,1
"25.3.6.10034.altinitystable","Raw",1,1,1,1,1
"25.3.6.10034.altinitystable","TabSeparatedRawWithNames",1,1,1,1,1
"25.3.6.10034.altinitystable","RowBinaryWithNamesAndTypes",1,1,0,1,0
"25.3.6.10034.altinitystable","JSONCompact",1,1,0,1,1
"25.3.6.10034.altinitystable","CSV",1,1,1,1,1
"25.3.6.10034.altinitystable","JSONCompactEachRowWithNames",1,1,1,1,1
"25.3.6.10034.altinitystable","TSVWithNamesAndTypes",1,1,1,1,1
"25.3.6.10034.altinitystable","TabSeparatedWithNames",1,1,1,1,1
"25.3.6.10034.altinitystable","TabSeparated",1,1,1,1,1
"25.3.6.10034.altinitystable","TSVWithNames",1,1,1,1,1
