"ch_version","name","value"
"25.3.6.10034.altinitystable","VERSION_FULL","ClickHouse 25.3.6.10034.altinitystable"
"25.3.6.10034.altinitystable","VERSION_DESCRIBE","v25.3.6.10034.altinitystable"
"25.3.6.10034.altinitystable","VERSION_INTEGER","25003006"
"25.3.6.10034.altinitystable","SYSTEM","Linux"
"25.3.6.10034.altinitystable","VERSION_GITHASH","d32d0074004db61e346611c777e26532a456fe2f"
"25.3.6.10034.altinitystable","VERSION_REVISION","-1"
"25.3.6.10034.altinitystable","BUILD_TYPE","RelWithDebInfo"
"25.3.6.10034.altinitystable","SYSTEM_PROCESSOR","x86_64"
"25.3.6.10034.altinitystable","CMAKE_VERSION","4.0.1"
"25.3.6.10034.altinitystable","C_COMPILER","/usr/bin/clang-19"
"25.3.6.10034.altinitystable","C_COMPILER_VERSION","19.1.7"
"25.3.6.10034.altinitystable","CXX_COMPILER","/usr/bin/clang++-19"
"25.3.6.10034.altinitystable","CXX_COMPILER_VERSION","19.1.7"
"25.3.6.10034.altinitystable","C_FLAGS"," --gcc-toolchain=./cmake/linux/../../contrib/sysroot/linux-x86_64 -fdiagnostics-color=always -Xclang -fuse-ctor-homing  -gdwarf-aranges -pipe -mssse3 -msse4.1 -msse4.2 -mpclmul -mpopcnt -fasynchronous-unwind-tables -ffile-prefix-map=.=. -ftime-trace -falign-functions=32 -mbranches-within-32B-boundaries -ffp-contract=off  -fdiagnostics-absolute-paths -Wframe-larger-than=65536 -Weverything -Wpedantic -Wvla-cxx-extension -Wno-return-type-c-linkage -Wno-zero-length-array -Wno-c++98-compat-pedantic -Wno-c++98-compat -Wno-c++20-compat -Wno-sign-conversion -Wno-implicit-int-conversion -Wno-implicit-int-float-conversion -Wno-ctad-maybe-unsupported -Wno-disabled-macro-expansion -Wno-documentation-unknown-command -Wno-double-promotion -Wno-exit-time-destructors -Wno-float-equal -Wno-global-constructors -Wno-missing-prototypes -Wno-missing-variable-declarations -Wno-padded -Wno-switch-enum -Wno-undefined-func-template -Wno-unused-template -Wno-weak-template-vtables -Wno-weak-vtables -Wno-thread-safety-negative -Wno-unsafe-buffer-usage -Wno-switch-default -O2 -g -DNDEBUG -O3 -g  -flto=thin -fwhole-program-vtables -fno-pie"
