"ch_version","name","value"
"25.1.1.4165","VERSION_FULL","ClickHouse 25.1.1.4165"
"25.1.1.4165","VERSION_DESCRIBE","v25.1.1.4165-stable"
"25.1.1.4165","VERSION_INTEGER","25001001"
"25.1.1.4165","SYSTEM","Linux"
"25.1.1.4165","VERSION_GITHASH","8629bc5479687512c879598bbb836069643a8e22"
"25.1.1.4165","VERSION_REVISION","54494"
"25.1.1.4165","BUILD_TYPE","RelWithDebInfo"
"25.1.1.4165","SYSTEM_PROCESSOR","x86_64"
"25.1.1.4165","CMAKE_VERSION","3.31.2"
"25.1.1.4165","C_COMPILER","/usr/bin/clang-19"
"25.1.1.4165","C_COMPILER_VERSION","19.1.6"
"25.1.1.4165","CXX_COMPILER","/usr/bin/clang++-19"
"25.1.1.4165","CXX_COMPILER_VERSION","19.1.6"
"25.1.1.4165","C_FLAGS"," --gcc-toolchain=./cmake/linux/../../contrib/sysroot/linux-x86_64 -fdiagnostics-color=always -Xclang -fuse-ctor-homing -Wno-enum-constexpr-conversion  -gdwarf-aranges -pipe -mssse3 -msse4.1 -msse4.2 -mpclmul -mpopcnt -fasynchronous-unwind-tables -ffile-prefix-map=.=. -ftime-trace -falign-functions=32 -mbranches-within-32B-boundaries -ffp-contract=off  -fdiagnostics-absolute-paths -Wframe-larger-than=65536 -Weverything -Wpedantic -Wvla-cxx-extension -Wno-zero-length-array -Wno-c++98-compat-pedantic -Wno-c++98-compat -Wno-c++20-compat -Wno-sign-conversion -Wno-implicit-int-conversion -Wno-implicit-int-float-conversion -Wno-ctad-maybe-unsupported -Wno-disabled-macro-expansion -Wno-documentation-unknown-command -Wno-double-promotion -Wno-exit-time-destructors -Wno-float-equal -Wno-global-constructors -Wno-missing-prototypes -Wno-missing-variable-declarations -Wno-padded -Wno-switch-enum -Wno-undefined-func-template -Wno-unused-template -Wno-weak-template-vtables -Wno-weak-vtables -Wno-thread-safety-negative -Wno-enum-constexpr-conversion -Wno-unsafe-buffer-usage -Wno-switch-default -O2 -g -DNDEBUG -O3 -g  -flto=thin -fwhole-program-vtables -fno-pie"
"25.1.1.4165","CXX_FLAGS"," --gcc-toolchain=./cmake/linux/../../contrib/sysroot/linux-x86_64 -fdiagnostics-color=always -Xclang -fuse-ctor-homing -Wno-enum-constexpr-conversion -fsized-deallocation  -gdwarf-aranges -pipe -mssse3 -msse4.1 -msse4.2 -mpclmul -mpopcnt -fasynchronous-unwind-tables -ffile-prefix-map=.=. -ftime-trace -falign-functions=32 -mbranches-within-32B-boundaries -ffp-contract=off  -fdiagnostics-absolute-paths -fstrict-vtable-pointers -Wall -Wextra -Wframe-larger-than=65536 -Weverything -Wpedantic -Wvla-cxx-extension -Wno-zero-length-array -Wno-c++98-compat-pedantic -Wno-c++98-compat -Wno-c++20-compat -Wno-sign-conversion -Wno-implicit-int-conversion -Wno-implicit-int-float-conversion -Wno-ctad-maybe-unsupported -Wno-disabled-macro-expansion -Wno-documentation-unknown-command -Wno-double-promotion -Wno-exit-time-destructors -Wno-float-equal -Wno-global-constructors -Wno-missing-prototypes -Wno-missing-variable-declarations -Wno-padded -Wno-switch-enum -Wno-undefined-func-template -Wno-unused-template -Wno-weak-template-vtables -Wno-weak-vtables -Wno-thread-safety-negative -Wno-enum-constexpr-conversion -Wno-unsafe-buffer-usage -Wno-switch-default -O2 -g -DNDEBUG -O3 -g  -flto=thin -fwhole-program-vtables -fno-pie"
"25.1.1.4165","LINK_FLAGS"," --gcc-toolchain=./cmake/linux/../../contrib/sysroot/linux-x86_64 --ld-path=/usr/bin/ld.lld-19 -Wl,--no-export-dynamic -Wl,--gc-sections -Wl,--build-id=sha1 -Wl,--time-trace -no-pie -Wl,-no-pie  -flto=thin -fwhole-program-vtables"
"25.1.1.4165","BUILD_COMPILE_DEFINITIONS",""
"25.1.1.4165","USE_EMBEDDED_COMPILER","ON"
"25.1.1.4165","USE_GLIBC_COMPATIBILITY","ON"
"25.1.1.4165","USE_JEMALLOC","1"
"25.1.1.4165","USE_ICU","1"
"25.1.1.4165","USE_H3","1"
"25.1.1.4165","USE_MYSQL","1"
"25.1.1.4165","USE_RDKAFKA","1"
"25.1.1.4165","USE_CAPNP","1"
"25.1.1.4165","USE_BASE64","1"
"25.1.1.4165","USE_HDFS","1"
"25.1.1.4165","USE_SNAPPY","1"
"25.1.1.4165","USE_PARQUET","1"
"25.1.1.4165","USE_PROTOBUF","1"
"25.1.1.4165","USE_BROTLI","1"
"25.1.1.4165","USE_SSL","1"
"25.1.1.4165","OPENSSL_VERSION",""
"25.1.1.4165","OPENSSL_IS_BORING_SSL",""
"25.1.1.4165","USE_VECTORSCAN","1"
"25.1.1.4165","USE_SIMDJSON","1"
"25.1.1.4165","USE_ODBC","1"
"25.1.1.4165","USE_GRPC","1"
"25.1.1.4165","USE_LDAP","1"
"25.1.1.4165","TZDATA_VERSION","2024a"
"25.1.1.4165","USE_KRB5","1"
"25.1.1.4165","USE_FILELOG","1"
"25.1.1.4165","USE_BZIP2","1"
"25.1.1.4165","USE_AMQPCPP","1"
"25.1.1.4165","USE_ROCKSDB","1"
"25.1.1.4165","USE_NURAFT","1"
"25.1.1.4165","USE_NLP","1"
"25.1.1.4165","USE_LIBURING","1"
"25.1.1.4165","USE_SQLITE","1"
"25.1.1.4165","USE_LIBPQXX","1"
"25.1.1.4165","USE_AZURE_BLOB_STORAGE","1"
"25.1.1.4165","USE_AWS_S3","1"
"25.1.1.4165","USE_CASSANDRA","1"
"25.1.1.4165","USE_YAML_CPP","1"
"25.1.1.4165","USE_SENTRY","1"
"25.1.1.4165","USE_DATASKETCHES","1"
"25.1.1.4165","USE_AVRO","1"
"25.1.1.4165","USE_ARROW","1"
"25.1.1.4165","USE_ORC","1"
"25.1.1.4165","USE_MSGPACK","1"
"25.1.1.4165","USE_QATLIB","1"
"25.1.1.4165","CLICKHOUSE_CLOUD","0"
"25.1.1.4165","GIT_HASH","8629bc5479687512c879598bbb836069643a8e22"
"25.1.1.4165","GIT_BRANCH","HEAD"
"25.1.1.4165","GIT_DATE","2025-01-28 13:34:10 +0000"
"25.1.1.4165","GIT_COMMIT_SUBJECT","Merge pull request #75126 from ClickHouse/backport/25.1/74478"
