"ch_version","name","value"
"1.1.54310","VERSION_FULL","ClickHouse 1.1.54310"
"1.1.54310","VERSION_DESCRIBE","v1.1.54310-testing"
"1.1.54310","BUILD_DATE","2017-11-01"
"1.1.54310","BUILD_TYPE","RELWITHDEBINFO"
"1.1.54310","SYSTEM","Linux-3.18.35-35.1"
"1.1.54310","SYSTEM_PROCESSOR","x86_64"
"1.1.54310","LIBRARY_ARCHITECTURE","x86_64-linux-gnu"
"1.1.54310","CMAKE_VERSION","3.5.1"
"1.1.54310","C_COMPILER","/usr/bin/gcc-6"
"1.1.54310","C_COMPILER_VERSION","6.3.0"
"1.1.54310","CXX_COMPILER","/usr/bin/g++-6"
"1.1.54310","CXX_COMPILER_VERSION","6.3.0"
"1.1.54310","C_FLAGS","-g -O2 -fstack-protector-strong -Wformat -Werror=format-security -Wdate-time -D_FORTIFY_SOURCE=2   -D_GLIBCXX_USE_CXX11_ABI=1 -pipe -msse4.1 -msse4.2 -mpopcnt -fno-omit-frame-pointer -Wall  -no-pie -O2 -g -DNDEBUG -O3"
"1.1.54310","CXX_FLAGS","-g -O2 -fstack-protector-strong -Wformat -Werror=format-security -Wdate-time -D_FORTIFY_SOURCE=2   -D_GLIBCXX_USE_CXX11_ABI=1 -pipe -msse4.1 -msse4.2 -mpopcnt -std=gnu++1z  -fno-omit-frame-pointer -Wall -Wnon-virtual-dtor  -no-pie -O2 -g -DNDEBUG -O3"
"1.1.54310","LINK_FLAGS"," -Wl,-Bsymbolic-functions -Wl,-z,relro -Wl,-z,now -static-libgcc -static-libstdc++  -D_GLIBCXX_USE_CXX11_ABI=1"
"1.1.54310","BUILD_COMPILE_DEFINITIONS",""
"1.1.54310","BUILD_INCLUDE_DIRECTORIES","/usr/include;/usr/include/x86_64-linux-gnu;/usr/include"
"1.1.54310","STATIC","ON"
