"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.3.10.75","Kafka",1,0,0,0,0,0
"20.3.10.75","MySQL",0,0,0,0,0,0
"20.3.10.75","HDFS",0,0,0,0,0,0
"20.3.10.75","S3",0,0,0,0,0,0
"20.3.10.75","MaterializedView",0,0,0,0,0,0
"20.3.10.75","View",0,0,0,0,0,0
"20.3.10.75","JDBC",0,0,0,0,0,0
"20.3.10.75","Join",1,0,0,0,0,0
"20.3.10.75","Set",0,0,0,0,0,0
"20.3.10.75","Dictionary",0,0,0,0,0,0
"20.3.10.75","GenerateRandom",0,0,0,0,0,0
"20.3.10.75","LiveView",0,0,0,0,0,0
"20.3.10.75","MergeTree",1,1,1,1,0,0
"20.3.10.75","Memory",0,0,0,0,0,0
"20.3.10.75","Buffer",0,0,0,0,0,0
"20.3.10.75","URL",0,0,0,0,0,0
"20.3.10.75","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.3.10.75","ReplacingMergeTree",1,1,1,1,0,0
"20.3.10.75","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.3.10.75","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.3.10.75","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.3.10.75","File",0,0,0,0,0,0
"20.3.10.75","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.3.10.75","ReplicatedMergeTree",1,1,1,1,1,1
"20.3.10.75","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.3.10.75","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.3.10.75","SummingMergeTree",1,1,1,1,0,0
"20.3.10.75","Distributed",0,0,0,0,0,0
"20.3.10.75","TinyLog",1,0,0,0,0,0
"20.3.10.75","GraphiteMergeTree",1,1,1,1,0,0
"20.3.10.75","CollapsingMergeTree",1,1,1,1,0,0
"20.3.10.75","Merge",0,0,0,0,0,0
"20.3.10.75","AggregatingMergeTree",1,1,1,1,0,0
"20.3.10.75","ODBC",0,0,0,0,0,0
"20.3.10.75","Null",0,0,0,0,0,0
"20.3.10.75","StripeLog",1,0,0,0,0,0
"20.3.10.75","Log",1,0,0,0,0,0
