"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly","content_type","supports_random_access","has_schema_inference","has_external_schema","prefers_large_blocks","supports_append","supports_subsets_of_columns"
"25.10.1.3832","One",1,0,0,0,1,"",0,0,1,0,0,0
"25.10.1.3832","ParquetMetadata",1,0,1,0,1,"",1,1,0,0,0,1
"25.10.1.3832","MySQLDump",1,0,0,0,1,"",0,1,0,0,0,0
"25.10.1.3832","Hash",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","CapnProto",1,1,0,0,0,"application/octet-stream",0,0,1,0,0,1
"25.10.1.3832","PostgreSQLWire",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.10.1.3832","TSV",1,1,1,1,1,"text/tab-separated-values; charset=UTF-8",0,1,0,0,0,0
"25.10.1.3832","PrettyCompactMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","JSONEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","JSONCompactStrings",0,1,0,1,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","JSONStringsEachRowWithProgress",0,1,0,0,1,"application/json; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","Vertical",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","Null",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettySpaceNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","Markdown",0,1,0,1,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","Form",1,0,0,0,1,"",0,1,0,0,0,0
"25.10.1.3832","ODBCDriver2",0,1,0,0,0,"application/octet-stream",0,0,0,0,0,0
"25.10.1.3832","PrettySpaceMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettyCompactNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","JSONStringsEachRow",1,1,1,1,1,"application/x-ndjson; charset=UTF-8",0,1,0,0,0,1
"25.10.1.3832","PrettyCompact",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","DWARF",1,0,1,0,1,"",1,1,0,0,0,1
"25.10.1.3832","Values",1,1,0,1,1,"text/plain; charset=UTF-8",0,1,0,0,0,0
"25.10.1.3832","PrettyNoEscapesMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettyNoEscapes",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","PrettyMonoBlock",0,1,0,0,1,"text/plain; charset=UTF-8",0,0,0,0,0,0
"25.10.1.3832","AvroConfluent",1,0,0,0,1,"",0,1,0,0,0,1
