"ch_version","name","case_insensitive","alias_to"
"19.4.5.35","IPv6",0,""
"19.4.5.35","IPv4",0,""
"19.4.5.35","Decimal",1,""
"19.4.5.35","String",0,""
"19.4.5.35","Decimal64",1,""
"19.4.5.35","Decimal32",1,""
"19.4.5.35","Decimal128",1,""
"19.4.5.35","Float64",0,""
"19.4.5.35","Float32",0,""
"19.4.5.35","Int64",0,""
"19.4.5.35","Array",0,""
"19.4.5.35","Nothing",0,""
"19.4.5.35","UInt16",0,""
"19.4.5.35","DateTime",1,""
"19.4.5.35","Enum16",0,""
"19.4.5.35","UInt32",0,""
"19.4.5.35","Date",1,""
"19.4.5.35","Int8",0,""
"19.4.5.35","Int32",0,""
"19.4.5.35","Enum8",0,""
"19.4.5.35","UInt64",0,""
"19.4.5.35","IntervalSecond",0,""
"19.4.5.35","Int16",0,""
"19.4.5.35","FixedString",0,""
"19.4.5.35","Nullable",0,""
"19.4.5.35","AggregateFunction",0,""
"19.4.5.35","Tuple",0,""
"19.4.5.35","IntervalMonth",0,""
"19.4.5.35","Nested",0,""
"19.4.5.35","IntervalMinute",0,""
"19.4.5.35","IntervalHour",0,""
"19.4.5.35","IntervalWeek",0,""
"19.4.5.35","IntervalDay",0,""
"19.4.5.35","UInt8",0,""
"19.4.5.35","IntervalQuarter",0,""
"19.4.5.35","UUID",0,""
"19.4.5.35","IntervalYear",0,""
"19.4.5.35","LowCardinality",0,""
"19.4.5.35","LONGBLOB",1,"String"
"19.4.5.35","MEDIUMBLOB",1,"String"
"19.4.5.35","TINYBLOB",1,"String"
"19.4.5.35","BIGINT",1,"Int64"
"19.4.5.35","SMALLINT",1,"Int16"
"19.4.5.35","TIMESTAMP",1,"DateTime"
"19.4.5.35","INTEGER",1,"Int32"
"19.4.5.35","INT",1,"Int32"
"19.4.5.35","DOUBLE",1,"Float64"
"19.4.5.35","MEDIUMTEXT",1,"String"
"19.4.5.35","TINYINT",1,"Int8"
"19.4.5.35","DEC",1,"Decimal"
"19.4.5.35","BINARY",1,"FixedString"
"19.4.5.35","FLOAT",1,"Float32"
"19.4.5.35","CHAR",1,"String"
"19.4.5.35","VARCHAR",1,"String"
"19.4.5.35","TEXT",1,"String"
"19.4.5.35","TINYTEXT",1,"String"
"19.4.5.35","LONGTEXT",1,"String"
"19.4.5.35","BLOB",1,"String"
