"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.8.3.18","RabbitMQ",1,0,0,0,0,0
"20.8.3.18","Kafka",1,0,0,0,0,0
"20.8.3.18","MySQL",0,0,0,0,0,0
"20.8.3.18","HDFS",0,0,0,0,0,0
"20.8.3.18","S3",0,0,0,0,0,0
"20.8.3.18","MaterializedView",0,0,0,0,0,0
"20.8.3.18","View",0,0,0,0,0,0
"20.8.3.18","JDBC",0,0,0,0,0,0
"20.8.3.18","Join",1,0,0,0,0,0
"20.8.3.18","Set",0,0,0,0,0,0
"20.8.3.18","Dictionary",0,0,0,0,0,0
"20.8.3.18","GenerateRandom",0,0,0,0,0,0
"20.8.3.18","LiveView",0,0,0,0,0,0
"20.8.3.18","MergeTree",1,1,1,1,0,0
"20.8.3.18","Memory",0,0,0,0,0,0
"20.8.3.18","Buffer",0,0,0,0,0,0
"20.8.3.18","MongoDB",0,0,0,0,0,0
"20.8.3.18","URL",0,0,0,0,0,0
"20.8.3.18","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.8.3.18","ReplacingMergeTree",1,1,1,1,0,0
"20.8.3.18","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.8.3.18","COSN",0,0,0,0,0,0
"20.8.3.18","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.8.3.18","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.8.3.18","File",0,0,0,0,0,0
"20.8.3.18","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.8.3.18","ReplicatedMergeTree",1,1,1,1,1,1
"20.8.3.18","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.8.3.18","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.8.3.18","SummingMergeTree",1,1,1,1,0,0
"20.8.3.18","Distributed",0,0,0,0,0,0
"20.8.3.18","TinyLog",1,0,0,0,0,0
"20.8.3.18","GraphiteMergeTree",1,1,1,1,0,0
"20.8.3.18","CollapsingMergeTree",1,1,1,1,0,0
"20.8.3.18","Merge",0,0,0,0,0,0
"20.8.3.18","AggregatingMergeTree",1,1,1,1,0,0
"20.8.3.18","ODBC",0,0,0,0,0,0
"20.8.3.18","Null",0,0,0,0,0,0
"20.8.3.18","StripeLog",1,0,0,0,0,0
"20.8.3.18","Log",1,0,0,0,0,0
