"ch_version","name","case_insensitive","alias_to"
"23.7.5.30","JSON",1,""
"23.7.5.30","Polygon",0,""
"23.7.5.30","Ring",0,""
"23.7.5.30","Point",0,""
"23.7.5.30","SimpleAggregateFunction",0,""
"23.7.5.30","IntervalQuarter",0,""
"23.7.5.30","IntervalMonth",0,""
"23.7.5.30","Int64",0,""
"23.7.5.30","IntervalDay",0,""
"23.7.5.30","IntervalHour",0,""
"23.7.5.30","IPv4",0,""
"23.7.5.30","IntervalSecond",0,""
"23.7.5.30","LowCardinality",0,""
"23.7.5.30","Int16",0,""
"23.7.5.30","UInt256",0,""
"23.7.5.30","AggregateFunction",0,""
"23.7.5.30","MultiPolygon",0,""
"23.7.5.30","IPv6",0,""
"23.7.5.30","Nothing",0,""
"23.7.5.30","Decimal256",1,""
"23.7.5.30","Tuple",0,""
"23.7.5.30","Array",0,""
"23.7.5.30","IntervalMicrosecond",0,""
"23.7.5.30","Bool",1,""
"23.7.5.30","Enum16",0,""
"23.7.5.30","IntervalMinute",0,""
"23.7.5.30","FixedString",0,""
"23.7.5.30","String",0,""
"23.7.5.30","DateTime",1,""
"23.7.5.30","Object",0,""
"23.7.5.30","Map",0,""
"23.7.5.30","UUID",0,""
"23.7.5.30","Decimal64",1,""
"23.7.5.30","Nullable",0,""
"23.7.5.30","Enum",1,""
"23.7.5.30","Int32",0,""
"23.7.5.30","UInt8",0,""
"23.7.5.30","Date",1,""
"23.7.5.30","Decimal32",1,""
"23.7.5.30","UInt128",0,""
"23.7.5.30","Float64",0,""
"23.7.5.30","Nested",0,""
"23.7.5.30","UInt16",0,""
"23.7.5.30","IntervalMillisecond",0,""
"23.7.5.30","Int128",0,""
"23.7.5.30","Decimal128",1,""
"23.7.5.30","Int8",0,""
"23.7.5.30","Decimal",1,""
"23.7.5.30","Int256",0,""
"23.7.5.30","DateTime64",1,""
"23.7.5.30","Enum8",0,""
"23.7.5.30","DateTime32",1,""
"23.7.5.30","Date32",1,""
"23.7.5.30","IntervalWeek",0,""
"23.7.5.30","UInt64",0,""
"23.7.5.30","IntervalNanosecond",0,""
"23.7.5.30","IntervalYear",0,""
"23.7.5.30","UInt32",0,""
"23.7.5.30","Float32",0,""
"23.7.5.30","bool",1,"Bool"
"23.7.5.30","INET6",1,"IPv6"
"23.7.5.30","INET4",1,"IPv4"
"23.7.5.30","ENUM",1,"Enum"
"23.7.5.30","BINARY",1,"FixedString"
"23.7.5.30","GEOMETRY",1,"String"
"23.7.5.30","NATIONAL CHAR VARYING",1,"String"
"23.7.5.30","BINARY VARYING",1,"String"
"23.7.5.30","NCHAR LARGE OBJECT",1,"String"
"23.7.5.30","NATIONAL CHARACTER VARYING",1,"String"
"23.7.5.30","boolean",1,"Bool"
"23.7.5.30","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"23.7.5.30","NATIONAL CHARACTER",1,"String"
"23.7.5.30","NATIONAL CHAR",1,"String"
"23.7.5.30","CHARACTER VARYING",1,"String"
"23.7.5.30","LONGBLOB",1,"String"
"23.7.5.30","TINYBLOB",1,"String"
"23.7.5.30","MEDIUMTEXT",1,"String"
"23.7.5.30","TEXT",1,"String"
