"ch_version","name","supports_settings","supports_skipping_indices","supports_projections","supports_sort_order","supports_ttl","supports_replication","supports_deduplication","supports_parallel_insert"
"24.7.1.2915","HDFS",1,0,0,1,0,0,0,0
"24.7.1.2915","OSS",1,0,0,1,0,0,0,0
"24.7.1.2915","AzureBlobStorage",1,0,0,1,0,0,0,0
"24.7.1.2915","KeeperMap",0,0,0,1,0,0,0,1
"24.7.1.2915","SQLite",0,0,0,0,0,0,0,0
"24.7.1.2915","ExternalDistributed",0,0,0,0,0,0,0,0
"24.7.1.2915","S3",1,0,0,1,0,0,0,0
"24.7.1.2915","MaterializedPostgreSQL",1,0,0,1,0,0,0,0
"24.7.1.2915","PostgreSQL",0,0,0,0,0,0,0,0
"24.7.1.2915","NATS",1,0,0,0,0,0,0,0
"24.7.1.2915","RabbitMQ",1,0,0,0,0,0,0,0
"24.7.1.2915","FileLog",1,0,0,0,0,0,0,0
"24.7.1.2915","Dictionary",0,0,0,0,0,0,0,0
"24.7.1.2915","MySQL",1,0,0,0,0,0,0,0
"24.7.1.2915","S3Queue",1,0,0,0,0,0,0,0
"24.7.1.2915","FuzzJSON",0,0,0,0,0,0,0,0
"24.7.1.2915","Kafka",1,0,0,0,0,0,0,0
"24.7.1.2915","Loop",0,0,0,0,0,0,0,0
"24.7.1.2915","WindowView",0,0,0,0,0,0,0,0
"24.7.1.2915","Distributed",1,0,0,0,0,0,0,1
"24.7.1.2915","ReplicatedSummingMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","ExecutablePool",1,0,0,0,0,0,0,0
"24.7.1.2915","COSN",1,0,0,1,0,0,0,0
"24.7.1.2915","Iceberg",0,0,0,0,0,0,0,0
"24.7.1.2915","MaterializedView",0,0,0,0,0,0,0,0
"24.7.1.2915","View",0,0,0,0,0,0,0,0
"24.7.1.2915","JDBC",0,0,0,0,0,0,0,0
"24.7.1.2915","Join",1,0,0,0,0,0,0,0
"24.7.1.2915","Executable",1,0,0,0,0,0,0,0
"24.7.1.2915","Set",1,0,0,0,0,0,0,0
"24.7.1.2915","Redis",0,0,0,1,0,0,0,1
"24.7.1.2915","GenerateRandom",0,0,0,0,0,0,0,0
"24.7.1.2915","LiveView",0,0,0,0,0,0,0,0
"24.7.1.2915","MergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","ReplicatedReplacingMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","Memory",1,0,0,0,0,0,0,1
"24.7.1.2915","Buffer",0,0,0,0,0,0,0,1
"24.7.1.2915","MongoDB",0,0,0,0,0,0,0,0
"24.7.1.2915","URL",1,0,0,0,0,0,0,0
"24.7.1.2915","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","VersionedCollapsingMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","Hive",1,0,0,1,0,0,0,0
"24.7.1.2915","ReplacingMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","ReplicatedAggregatingMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","ReplicatedMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","DeltaLake",0,0,0,0,0,0,0,0
"24.7.1.2915","EmbeddedRocksDB",1,0,0,1,1,0,0,1
"24.7.1.2915","ReplicatedCollapsingMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","File",1,0,0,0,0,0,0,0
"24.7.1.2915","TinyLog",1,0,0,0,0,0,0,0
"24.7.1.2915","ReplicatedGraphiteMergeTree",1,1,1,1,1,1,1,1
"24.7.1.2915","SummingMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","Hudi",0,0,0,0,0,0,0,0
"24.7.1.2915","GraphiteMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","CollapsingMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","Merge",0,0,0,0,0,0,0,0
"24.7.1.2915","AzureQueue",1,0,0,0,0,0,0,0
"24.7.1.2915","AggregatingMergeTree",1,1,1,1,1,0,0,1
"24.7.1.2915","ODBC",0,0,0,0,0,0,0,0
"24.7.1.2915","Null",0,0,0,0,0,0,0,1
"24.7.1.2915","StripeLog",1,0,0,0,0,0,0,0
"24.7.1.2915","Log",1,0,0,0,0,0,0,0
