"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.6.3.28","RabbitMQ",1,0,0,0,0,0
"20.6.3.28","Kafka",1,0,0,0,0,0
"20.6.3.28","MySQL",0,0,0,0,0,0
"20.6.3.28","HDFS",0,0,0,0,0,0
"20.6.3.28","S3",0,0,0,0,0,0
"20.6.3.28","MaterializedView",0,0,0,0,0,0
"20.6.3.28","View",0,0,0,0,0,0
"20.6.3.28","JDBC",0,0,0,0,0,0
"20.6.3.28","Join",1,0,0,0,0,0
"20.6.3.28","Set",0,0,0,0,0,0
"20.6.3.28","Dictionary",0,0,0,0,0,0
"20.6.3.28","GenerateRandom",0,0,0,0,0,0
"20.6.3.28","LiveView",0,0,0,0,0,0
"20.6.3.28","MergeTree",1,1,1,1,0,0
"20.6.3.28","Memory",0,0,0,0,0,0
"20.6.3.28","Buffer",0,0,0,0,0,0
"20.6.3.28","MongoDB",0,0,0,0,0,0
"20.6.3.28","URL",0,0,0,0,0,0
"20.6.3.28","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.6.3.28","ReplacingMergeTree",1,1,1,1,0,0
"20.6.3.28","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.6.3.28","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.6.3.28","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.6.3.28","File",0,0,0,0,0,0
"20.6.3.28","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.6.3.28","ReplicatedMergeTree",1,1,1,1,1,1
"20.6.3.28","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.6.3.28","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.6.3.28","SummingMergeTree",1,1,1,1,0,0
"20.6.3.28","Distributed",0,0,0,0,0,0
"20.6.3.28","TinyLog",1,0,0,0,0,0
"20.6.3.28","GraphiteMergeTree",1,1,1,1,0,0
"20.6.3.28","CollapsingMergeTree",1,1,1,1,0,0
"20.6.3.28","Merge",0,0,0,0,0,0
"20.6.3.28","AggregatingMergeTree",1,1,1,1,0,0
"20.6.3.28","ODBC",0,0,0,0,0,0
"20.6.3.28","Null",0,0,0,0,0,0
"20.6.3.28","StripeLog",1,0,0,0,0,0
"20.6.3.28","Log",1,0,0,0,0,0
