"ch_version","name"
"20.1.15.109","Kafka"
"20.1.15.109","MySQL"
"20.1.15.109","HDFS"
"20.1.15.109","S3"
"20.1.15.109","MaterializedView"
"20.1.15.109","View"
"20.1.15.109","JDBC"
"20.1.15.109","Join"
"20.1.15.109","Set"
"20.1.15.109","Dictionary"
"20.1.15.109","LiveView"
"20.1.15.109","MergeTree"
"20.1.15.109","Memory"
"20.1.15.109","Buffer"
"20.1.15.109","URL"
"20.1.15.109","ReplicatedVersionedCollapsingMergeTree"
"20.1.15.109","ReplacingMergeTree"
"20.1.15.109","ReplicatedSummingMergeTree"
"20.1.15.109","ReplicatedAggregatingMergeTree"
"20.1.15.109","ReplicatedCollapsingMergeTree"
"20.1.15.109","File"
"20.1.15.109","ReplicatedGraphiteMergeTree"
"20.1.15.109","ReplicatedMergeTree"
"20.1.15.109","ReplicatedReplacingMergeTree"
"20.1.15.109","VersionedCollapsingMergeTree"
"20.1.15.109","SummingMergeTree"
"20.1.15.109","Distributed"
"20.1.15.109","TinyLog"
"20.1.15.109","GraphiteMergeTree"
"20.1.15.109","CollapsingMergeTree"
"20.1.15.109","Merge"
"20.1.15.109","AggregatingMergeTree"
"20.1.15.109","ODBC"
"20.1.15.109","Null"
"20.1.15.109","StripeLog"
"20.1.15.109","Log"
