"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.4.5.36","Kafka",1,0,0,0,0,0
"20.4.5.36","MySQL",0,0,0,0,0,0
"20.4.5.36","HDFS",0,0,0,0,0,0
"20.4.5.36","S3",0,0,0,0,0,0
"20.4.5.36","MaterializedView",0,0,0,0,0,0
"20.4.5.36","View",0,0,0,0,0,0
"20.4.5.36","JDBC",0,0,0,0,0,0
"20.4.5.36","Join",1,0,0,0,0,0
"20.4.5.36","Set",0,0,0,0,0,0
"20.4.5.36","Dictionary",0,0,0,0,0,0
"20.4.5.36","GenerateRandom",0,0,0,0,0,0
"20.4.5.36","LiveView",0,0,0,0,0,0
"20.4.5.36","MergeTree",1,1,1,1,0,0
"20.4.5.36","Memory",0,0,0,0,0,0
"20.4.5.36","Buffer",0,0,0,0,0,0
"20.4.5.36","URL",0,0,0,0,0,0
"20.4.5.36","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.4.5.36","ReplacingMergeTree",1,1,1,1,0,0
"20.4.5.36","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.4.5.36","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.4.5.36","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.4.5.36","File",0,0,0,0,0,0
"20.4.5.36","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.4.5.36","ReplicatedMergeTree",1,1,1,1,1,1
"20.4.5.36","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.4.5.36","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.4.5.36","SummingMergeTree",1,1,1,1,0,0
"20.4.5.36","Distributed",0,0,0,0,0,0
"20.4.5.36","TinyLog",1,0,0,0,0,0
"20.4.5.36","GraphiteMergeTree",1,1,1,1,0,0
"20.4.5.36","CollapsingMergeTree",1,1,1,1,0,0
"20.4.5.36","Merge",0,0,0,0,0,0
"20.4.5.36","AggregatingMergeTree",1,1,1,1,0,0
"20.4.5.36","ODBC",0,0,0,0,0,0
"20.4.5.36","Null",0,0,0,0,0,0
"20.4.5.36","StripeLog",1,0,0,0,0,0
"20.4.5.36","Log",1,0,0,0,0,0
