"ch_version","name","case_insensitive","alias_to"
"20.3.12.112","IPv6",0,""
"20.3.12.112","IPv4",0,""
"20.3.12.112","IntervalYear",0,""
"20.3.12.112","IntervalQuarter",0,""
"20.3.12.112","IntervalMonth",0,""
"20.3.12.112","IntervalDay",0,""
"20.3.12.112","IntervalHour",0,""
"20.3.12.112","IntervalSecond",0,""
"20.3.12.112","AggregateFunction",0,""
"20.3.12.112","Nothing",0,""
"20.3.12.112","Tuple",0,""
"20.3.12.112","Array",0,""
"20.3.12.112","Nullable",0,""
"20.3.12.112","Int32",0,""
"20.3.12.112","Date",1,""
"20.3.12.112","Enum",0,""
"20.3.12.112","Enum8",0,""
"20.3.12.112","IntervalMinute",0,""
"20.3.12.112","FixedString",0,""
"20.3.12.112","LowCardinality",0,""
"20.3.12.112","String",0,""
"20.3.12.112","DateTime",1,""
"20.3.12.112","UUID",0,""
"20.3.12.112","Decimal64",1,""
"20.3.12.112","Decimal32",1,""
"20.3.12.112","Float64",0,""
"20.3.12.112","Int16",0,""
"20.3.12.112","DateTime64",1,""
"20.3.12.112","Decimal128",1,""
"20.3.12.112","Int8",0,""
"20.3.12.112","SimpleAggregateFunction",0,""
"20.3.12.112","Nested",0,""
"20.3.12.112","Int64",0,""
"20.3.12.112","Decimal",1,""
"20.3.12.112","IntervalWeek",0,""
"20.3.12.112","UInt64",0,""
"20.3.12.112","Enum16",0,""
"20.3.12.112","UInt32",0,""
"20.3.12.112","UInt16",0,""
"20.3.12.112","Float32",0,""
"20.3.12.112","UInt8",0,""
"20.3.12.112","BINARY",1,"FixedString"
"20.3.12.112","LONGBLOB",1,"String"
"20.3.12.112","LONGTEXT",1,"String"
"20.3.12.112","TINYTEXT",1,"String"
"20.3.12.112","TEXT",1,"String"
"20.3.12.112","TINYINT",1,"Int8"
"20.3.12.112","DEC",1,"Decimal"
"20.3.12.112","VARCHAR",1,"String"
"20.3.12.112","MEDIUMBLOB",1,"String"
"20.3.12.112","TIMESTAMP",1,"DateTime"
"20.3.12.112","BLOB",1,"String"
"20.3.12.112","FLOAT",1,"Float32"
"20.3.12.112","INTEGER",1,"Int32"
"20.3.12.112","DOUBLE",1,"Float64"
"20.3.12.112","BIGINT",1,"Int64"
"20.3.12.112","TINYBLOB",1,"String"
"20.3.12.112","CHAR",1,"String"
"20.3.12.112","MEDIUMTEXT",1,"String"
"20.3.12.112","INT",1,"Int32"
"20.3.12.112","SMALLINT",1,"Int16"
