"ch_version","name","supports_settings","supports_skipping_indices","supports_sort_order","supports_ttl","supports_replication","supports_deduplication"
"20.3.13.127","Kafka",1,0,0,0,0,0
"20.3.13.127","MySQL",0,0,0,0,0,0
"20.3.13.127","HDFS",0,0,0,0,0,0
"20.3.13.127","S3",0,0,0,0,0,0
"20.3.13.127","MaterializedView",0,0,0,0,0,0
"20.3.13.127","View",0,0,0,0,0,0
"20.3.13.127","JDBC",0,0,0,0,0,0
"20.3.13.127","Join",1,0,0,0,0,0
"20.3.13.127","Set",0,0,0,0,0,0
"20.3.13.127","Dictionary",0,0,0,0,0,0
"20.3.13.127","GenerateRandom",0,0,0,0,0,0
"20.3.13.127","LiveView",0,0,0,0,0,0
"20.3.13.127","MergeTree",1,1,1,1,0,0
"20.3.13.127","Memory",0,0,0,0,0,0
"20.3.13.127","Buffer",0,0,0,0,0,0
"20.3.13.127","URL",0,0,0,0,0,0
"20.3.13.127","ReplicatedVersionedCollapsingMergeTree",1,1,1,1,1,1
"20.3.13.127","ReplacingMergeTree",1,1,1,1,0,0
"20.3.13.127","ReplicatedSummingMergeTree",1,1,1,1,1,1
"20.3.13.127","ReplicatedAggregatingMergeTree",1,1,1,1,1,1
"20.3.13.127","ReplicatedCollapsingMergeTree",1,1,1,1,1,1
"20.3.13.127","File",0,0,0,0,0,0
"20.3.13.127","ReplicatedGraphiteMergeTree",1,1,1,1,1,1
"20.3.13.127","ReplicatedMergeTree",1,1,1,1,1,1
"20.3.13.127","ReplicatedReplacingMergeTree",1,1,1,1,1,1
"20.3.13.127","VersionedCollapsingMergeTree",1,1,1,1,0,0
"20.3.13.127","SummingMergeTree",1,1,1,1,0,0
"20.3.13.127","Distributed",0,0,0,0,0,0
"20.3.13.127","TinyLog",1,0,0,0,0,0
"20.3.13.127","GraphiteMergeTree",1,1,1,1,0,0
"20.3.13.127","CollapsingMergeTree",1,1,1,1,0,0
"20.3.13.127","Merge",0,0,0,0,0,0
"20.3.13.127","AggregatingMergeTree",1,1,1,1,0,0
"20.3.13.127","ODBC",0,0,0,0,0,0
"20.3.13.127","Null",0,0,0,0,0,0
"20.3.13.127","StripeLog",1,0,0,0,0,0
"20.3.13.127","Log",1,0,0,0,0,0
