"ch_version","name","is_input","is_output"
"20.8.2.3","PostgreSQLWire",0,1
"20.8.2.3","MySQLWire",0,1
"20.8.2.3","PrettySpaceNoEscapes",0,1
"20.8.2.3","ODBCDriver2",0,1
"20.8.2.3","JSONCompact",0,1
"20.8.2.3","Pretty",0,1
"20.8.2.3","JSONAsString",1,0
"20.8.2.3","Template",1,1
"20.8.2.3","MsgPack",1,1
"20.8.2.3","TSV",1,1
"20.8.2.3","Regexp",1,0
"20.8.2.3","JSONCompactEachRow",1,1
"20.8.2.3","CustomSeparated",1,1
"20.8.2.3","TemplateIgnoreSpaces",1,0
"20.8.2.3","PrettyNoEscapes",0,1
"20.8.2.3","ArrowStream",1,1
"20.8.2.3","Parquet",1,1
"20.8.2.3","Arrow",1,1
"20.8.2.3","TabSeparatedWithNames",1,1
"20.8.2.3","JSONCompactEachRowWithNamesAndTypes",1,1
"20.8.2.3","RowBinary",1,1
"20.8.2.3","Protobuf",1,1
"20.8.2.3","CustomSeparatedIgnoreSpaces",1,0
"20.8.2.3","CSVWithNames",1,1
"20.8.2.3","PrettySpace",0,1
"20.8.2.3","Vertical",0,1
"20.8.2.3","CSV",1,1
"20.8.2.3","TSVRaw",1,1
"20.8.2.3","Values",1,1
"20.8.2.3","PrettyCompactNoEscapes",0,1
"20.8.2.3","JSONEachRowWithProgress",0,1
"20.8.2.3","ORC",1,1
"20.8.2.3","AvroConfluent",1,0
"20.8.2.3","TabSeparated",1,1
"20.8.2.3","TabSeparatedWithNamesAndTypes",1,1
"20.8.2.3","Null",0,1
"20.8.2.3","TabSeparatedRaw",1,1
"20.8.2.3","TSVWithNames",1,1
"20.8.2.3","PrettyCompact",0,1
"20.8.2.3","PrettyCompactMonoBlock",0,1
"20.8.2.3","CapnProto",1,0
"20.8.2.3","JSONEachRow",1,1
"20.8.2.3","Native",1,1
"20.8.2.3","TSKV",1,1
"20.8.2.3","Markdown",0,1
"20.8.2.3","XML",0,1
"20.8.2.3","JSON",0,1
"20.8.2.3","TSVWithNamesAndTypes",1,1
"20.8.2.3","Avro",1,1
"20.8.2.3","RowBinaryWithNamesAndTypes",1,1
