"ch_version","name","value"
"19.5.4.22","VERSION_FULL","ClickHouse 19.5.4.22"
"19.5.4.22","VERSION_DESCRIBE","v19.5.4.22-testing"
"19.5.4.22","VERSION_INTEGER","19005004"
"19.5.4.22","VERSION_GITHASH","a3435e32dbe5b1867dd346436aefc3654b7f5f5e"
"19.5.4.22","VERSION_REVISION","54417"
"19.5.4.22","BUILD_DATE","2019-05-13"
"19.5.4.22","SYSTEM","Linux-4.9.151-35"
"19.5.4.22","BUILD_TYPE","RELWITHDEBINFO"
"19.5.4.22","SYSTEM_PROCESSOR","x86_64"
"19.5.4.22","LIBRARY_ARCHITECTURE","x86_64-linux-gnu"
"19.5.4.22","CMAKE_VERSION","3.10.2"
"19.5.4.22","C_COMPILER","/usr/bin/gcc-8"
"19.5.4.22","C_COMPILER_VERSION","8.2.0"
"19.5.4.22","CXX_COMPILER","/usr/bin/g++-8"
"19.5.4.22","CXX_COMPILER_VERSION","8.2.0"
"19.5.4.22","C_FLAGS"," -fdiagnostics-color=always  -pipe -msse4.1 -msse4.2 -mpopcnt -fno-omit-frame-pointer  -Wall  -no-pie -O2 -g -DNDEBUG -O3 "
"19.5.4.22","CXX_FLAGS"," -fdiagnostics-color=always  -pipe -msse4.1 -msse4.2 -mpopcnt  -fno-omit-frame-pointer  -Wall  -Wnon-virtual-dtor -no-pie -O2 -g -DNDEBUG -O3 "
"19.5.4.22","LINK_FLAGS"," -fuse-ld=gold"
"19.5.4.22","BUILD_COMPILE_DEFINITIONS",""
"19.5.4.22","BUILD_INCLUDE_DIRECTORIES",""
"19.5.4.22","STATIC","ON"
"19.5.4.22","SPLIT_BINARY",""
"19.5.4.22","USE_EMBEDDED_COMPILER","1"
"19.5.4.22","USE_INTERNAL_MEMCPY","ON"
"19.5.4.22","USE_GLIBC_COMPATIBILITY","ON"
"19.5.4.22","USE_JEMALLOC","1"
"19.5.4.22","USE_TCMALLOC",""
"19.5.4.22","USE_UNWIND","1"
"19.5.4.22","USE_ICU","1"
"19.5.4.22","USE_MYSQL","1"
"19.5.4.22","USE_RE2_ST","1"
"19.5.4.22","USE_VECTORCLASS",""
"19.5.4.22","USE_RDKAFKA","1"
"19.5.4.22","USE_CAPNP","1"
"19.5.4.22","USE_POCO_SQLODBC",""
"19.5.4.22","USE_POCO_DATAODBC","1"
"19.5.4.22","USE_POCO_MONGODB","1"
"19.5.4.22","USE_POCO_NETSSL","1"
"19.5.4.22","USE_BASE64","1"
"19.5.4.22","USE_XXHASH","1"
"19.5.4.22","USE_HDFS","1"
"19.5.4.22","USE_SNAPPY","1"
"19.5.4.22","USE_PARQUET","1"
"19.5.4.22","USE_PROTOBUF","1"
"19.5.4.22","USE_BROTLI","1"
"19.5.4.22","USE_SSL","1"
"19.5.4.22","USE_HYPERSCAN","1"
