"ch_version","name","description","allow_readonly"
"26.3.3.20","zeros","
                Generates a stream of zeros (a table with one column 'zero' of type 'UInt8') of specified size.
                This table function is used in performance tests, where you want to spend as little time as possible to data generation while testing some other parts of queries.
                In contrast to the `zeros_mt`, this table function is using single thread for data generation.
                Example:
                [example:1]
                This query will test the speed of `randomPrintableASCII` function using single thread.
                See also the `system.zeros_mt` table.",0
"26.3.3.20","mergeTreeAnalyzeIndexes","Internal function for index analysis",1
"26.3.3.20","input","",0
"26.3.3.20","mysql","",0
"26.3.3.20","viewExplain","
                Returns result of EXPLAIN query.
                The function should not be called directly but can be invoked via `SELECT * FROM (EXPLAIN <query>)`.
                You can use this query to process the result of EXPLAIN further using SQL (e.g., in tests).
                Example:
                [example:1]
                ",0
"26.3.3.20","null","",1
"26.3.3.20","odbc","",0
"26.3.3.20","generateSeries","",1
"26.3.3.20","mongodb","Allows get data from MongoDB collection.",0
"26.3.3.20","generate_series","",1
"26.3.3.20","deltaLake","The table function can be used to read the DeltaLake table stored on S3, alias of deltaLakeS3.",0
"26.3.3.20","sqlite","",0
"26.3.3.20","arrowFlight","Allows to perform queries on data exposed via an Apache Arrow Flight server.",0
"26.3.3.20","cluster","",1
"26.3.3.20","primes","Returns tables with a single UInt64 column `prime` containing prime numbers in ascending order, starting from 2.",1
"26.3.3.20","paimonCluster","The table function can be used to read the Paimon table stored on store from disk in parallel for many nodes in a specified cluster.",0
"26.3.3.20","remoteSecure","",0
"26.3.3.20","numbers","",1
"26.3.3.20","remote","",0
"26.3.3.20","arrowflight","Allows to perform queries on data exposed via an Apache Arrow Flight server.",0
