"ch_version","name","case_insensitive","alias_to"
"23.3.15.29","JSON",1,""
"23.3.15.29","Polygon",0,""
"23.3.15.29","Ring",0,""
"23.3.15.29","Point",0,""
"23.3.15.29","SimpleAggregateFunction",0,""
"23.3.15.29","IntervalQuarter",0,""
"23.3.15.29","IntervalMonth",0,""
"23.3.15.29","Int64",0,""
"23.3.15.29","IntervalDay",0,""
"23.3.15.29","IntervalHour",0,""
"23.3.15.29","IPv4",0,""
"23.3.15.29","IntervalSecond",0,""
"23.3.15.29","LowCardinality",0,""
"23.3.15.29","Int16",0,""
"23.3.15.29","UInt256",0,""
"23.3.15.29","AggregateFunction",0,""
"23.3.15.29","MultiPolygon",0,""
"23.3.15.29","IPv6",0,""
"23.3.15.29","Nothing",0,""
"23.3.15.29","Decimal256",1,""
"23.3.15.29","Tuple",0,""
"23.3.15.29","Array",0,""
"23.3.15.29","IntervalMicrosecond",0,""
"23.3.15.29","Bool",1,""
"23.3.15.29","Enum16",0,""
"23.3.15.29","IntervalMinute",0,""
"23.3.15.29","FixedString",0,""
"23.3.15.29","String",0,""
"23.3.15.29","DateTime",1,""
"23.3.15.29","Object",0,""
"23.3.15.29","Map",0,""
"23.3.15.29","UUID",0,""
"23.3.15.29","Decimal64",1,""
"23.3.15.29","Nullable",0,""
"23.3.15.29","Enum",1,""
"23.3.15.29","Int32",0,""
"23.3.15.29","UInt8",0,""
"23.3.15.29","Date",1,""
"23.3.15.29","Decimal32",1,""
"23.3.15.29","UInt128",0,""
"23.3.15.29","Float64",0,""
"23.3.15.29","Nested",0,""
"23.3.15.29","UInt16",0,""
"23.3.15.29","IntervalMillisecond",0,""
"23.3.15.29","Int128",0,""
"23.3.15.29","Decimal128",1,""
"23.3.15.29","Int8",0,""
"23.3.15.29","Decimal",1,""
"23.3.15.29","Int256",0,""
"23.3.15.29","DateTime64",1,""
"23.3.15.29","Enum8",0,""
"23.3.15.29","DateTime32",1,""
"23.3.15.29","Date32",1,""
"23.3.15.29","IntervalWeek",0,""
"23.3.15.29","UInt64",0,""
"23.3.15.29","IntervalNanosecond",0,""
"23.3.15.29","IntervalYear",0,""
"23.3.15.29","UInt32",0,""
"23.3.15.29","Float32",0,""
"23.3.15.29","bool",1,"Bool"
"23.3.15.29","INET6",1,"IPv6"
"23.3.15.29","INET4",1,"IPv4"
"23.3.15.29","ENUM",1,"Enum"
"23.3.15.29","BINARY",1,"FixedString"
"23.3.15.29","GEOMETRY",1,"String"
"23.3.15.29","NATIONAL CHAR VARYING",1,"String"
"23.3.15.29","BINARY VARYING",1,"String"
"23.3.15.29","NCHAR LARGE OBJECT",1,"String"
"23.3.15.29","NATIONAL CHARACTER VARYING",1,"String"
"23.3.15.29","boolean",1,"Bool"
"23.3.15.29","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"23.3.15.29","NATIONAL CHARACTER",1,"String"
"23.3.15.29","NATIONAL CHAR",1,"String"
"23.3.15.29","CHARACTER VARYING",1,"String"
"23.3.15.29","LONGBLOB",1,"String"
"23.3.15.29","TINYBLOB",1,"String"
"23.3.15.29","MEDIUMTEXT",1,"String"
"23.3.15.29","TEXT",1,"String"
"23.3.15.29","VARCHAR2",1,"String"
"23.3.15.29","CHARACTER LARGE OBJECT",1,"String"
"23.3.15.29","DOUBLE PRECISION",1,"Float64"
"23.3.15.29","LONGTEXT",1,"String"
"23.3.15.29","NVARCHAR",1,"String"
"23.3.15.29","INT1 UNSIGNED",1,"UInt8"
"23.3.15.29","VARCHAR",1,"String"
"23.3.15.29","CHAR VARYING",1,"String"
"23.3.15.29","MEDIUMBLOB",1,"String"
"23.3.15.29","NCHAR",1,"String"
"23.3.15.29","VARBINARY",1,"String"
"23.3.15.29","CHAR",1,"String"
"23.3.15.29","SMALLINT UNSIGNED",1,"UInt16"
"23.3.15.29","TIMESTAMP",1,"DateTime"
"23.3.15.29","FIXED",1,"Decimal"
"23.3.15.29","TINYTEXT",1,"String"
"23.3.15.29","NUMERIC",1,"Decimal"
"23.3.15.29","DEC",1,"Decimal"
"23.3.15.29","TIME",1,"Int64"
