"ch_version","name"
"19.3.4","af"
"19.3.4","am"
"19.3.4","ar"
"19.3.4","as"
"19.3.4","az"
"19.3.4","be"
"19.3.4","bg"
"19.3.4","bn"
"19.3.4","bo"
"19.3.4","bs"
"19.3.4","bs_Cyrl"
"19.3.4","ca"
"19.3.4","chr"
"19.3.4","cs"
"19.3.4","cy"
"19.3.4","da"
"19.3.4","de"
"19.3.4","de_AT"
"19.3.4","dsb"
"19.3.4","dz"
"19.3.4","ee"
"19.3.4","el"
"19.3.4","en"
"19.3.4","en_US"
"19.3.4","en_US_POSIX"
"19.3.4","eo"
"19.3.4","es"
"19.3.4","et"
"19.3.4","fa"
"19.3.4","fa_AF"
"19.3.4","fi"
"19.3.4","fil"
"19.3.4","fo"
"19.3.4","fr"
"19.3.4","fr_CA"
"19.3.4","ga"
"19.3.4","gl"
"19.3.4","gu"
"19.3.4","ha"
"19.3.4","haw"
"19.3.4","he"
"19.3.4","hi"
"19.3.4","hr"
"19.3.4","hsb"
"19.3.4","hu"
"19.3.4","hy"
"19.3.4","id"
"19.3.4","ig"
"19.3.4","is"
"19.3.4","it"
"19.3.4","ja"
"19.3.4","ka"
"19.3.4","kk"
"19.3.4","kl"
"19.3.4","km"
"19.3.4","kn"
"19.3.4","ko"
"19.3.4","kok"
"19.3.4","ky"
"19.3.4","lb"
"19.3.4","lkt"
"19.3.4","ln"
"19.3.4","lo"
"19.3.4","lt"
"19.3.4","lv"
"19.3.4","mk"
"19.3.4","ml"
"19.3.4","mn"
"19.3.4","mr"
"19.3.4","ms"
"19.3.4","mt"
"19.3.4","my"
"19.3.4","nb"
"19.3.4","ne"
"19.3.4","nl"
"19.3.4","nn"
"19.3.4","om"
"19.3.4","or"
"19.3.4","pa"
"19.3.4","pl"
"19.3.4","ps"
"19.3.4","pt"
"19.3.4","ro"
"19.3.4","ru"
"19.3.4","se"
"19.3.4","si"
"19.3.4","sk"
"19.3.4","sl"
"19.3.4","smn"
"19.3.4","sq"
"19.3.4","sr"
"19.3.4","sr_Latn"
"19.3.4","sv"
"19.3.4","sw"
"19.3.4","ta"
"19.3.4","te"
"19.3.4","th"
"19.3.4","to"
"19.3.4","tr"
"19.3.4","ug"
"19.3.4","uk"
"19.3.4","ur"
"19.3.4","uz"
"19.3.4","vi"
"19.3.4","wae"
"19.3.4","wo"
"19.3.4","yi"
"19.3.4","yo"
"19.3.4","zh"
"19.3.4","zh_Hant"
"19.3.4","zu"
