"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting"
"24.3.6.38","Template",1,1,0,0
"24.3.6.38","MySQLDump",1,0,0,0
"24.3.6.38","SQLInsert",0,1,0,0
"24.3.6.38","JSONCompactStrings",0,1,0,1
"24.3.6.38","JSONStringsEachRowWithProgress",0,1,0,0
"24.3.6.38","TSV",1,1,1,1
"24.3.6.38","PrettyCompactMonoBlock",0,1,0,0
"24.3.6.38","JSONEachRowWithProgress",0,1,0,0
"24.3.6.38","PrettySpaceNoEscapesMonoBlock",0,1,0,0
"24.3.6.38","MsgPack",1,1,0,1
"24.3.6.38","ODBCDriver2",0,1,0,0
"24.3.6.38","PrettyCompactNoEscapesMonoBlock",0,1,0,0
"24.3.6.38","PrettySpaceMonoBlock",0,1,0,0
"24.3.6.38","RawBLOB",1,1,0,0
"24.3.6.38","Markdown",0,1,0,1
"24.3.6.38","PrettySpaceNoEscapes",0,1,0,1
"24.3.6.38","PrettyCompactNoEscapes",0,1,0,1
"24.3.6.38","JSONStringsEachRow",1,1,1,1
"24.3.6.38","PrettyCompact",0,1,0,1
"24.3.6.38","PrettyNoEscapesMonoBlock",0,1,0,0
"24.3.6.38","PrettyNoEscapes",0,1,0,1
"24.3.6.38","Pretty",0,1,0,1
"24.3.6.38","AvroConfluent",1,0,0,0
"24.3.6.38","Vertical",0,1,0,1
"24.3.6.38","Avro",1,1,0,0
"24.3.6.38","LineAsString",1,1,1,1
"24.3.6.38","RowBinaryWithNames",1,1,0,1
"24.3.6.38","Parquet",1,1,1,0
"24.3.6.38","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0
"24.3.6.38","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0
"24.3.6.38","CustomSeparatedWithNamesAndTypes",1,1,0,1
"24.3.6.38","PrettySpace",0,1,0,1
"24.3.6.38","JSONAsString",1,0,1,0
"24.3.6.38","CustomSeparatedWithNames",1,1,0,1
"24.3.6.38","CustomSeparated",1,1,0,1
"24.3.6.38","PrettyMonoBlock",0,1,0,0
"24.3.6.38","TSVRaw",1,1,1,1
"24.3.6.38","XML",0,1,0,1
"24.3.6.38","NDJSON",1,1,1,1
"24.3.6.38","ProtobufList",1,1,0,0
"24.3.6.38","Protobuf",1,1,0,0
"24.3.6.38","ProtobufSingle",1,1,0,0
"24.3.6.38","JSONColumnsWithMetadata",1,1,0,0
"24.3.6.38","TemplateIgnoreSpaces",1,0,0,0
"24.3.6.38","JSONCompactColumns",1,1,0,0
"24.3.6.38","JSONColumns",1,1,0,0
"24.3.6.38","ArrowStream",1,1,0,0
"24.3.6.38","JSONObjectEachRow",1,1,0,1
"24.3.6.38","PrettyNDJSON",0,1,0,1
"24.3.6.38","CSVWithNamesAndTypes",1,1,1,1
"24.3.6.38","ORC",1,1,0,0
"24.3.6.38","PrettyJSONEachRow",0,1,0,1
"24.3.6.38","JSONLines",1,1,1,1
"24.3.6.38","JSONStrings",0,1,0,1
"24.3.6.38","PrettyJSONLines",0,1,0,1
"24.3.6.38","LineAsStringWithNamesAndTypes",0,1,0,1
"24.3.6.38","LineAsStringWithNames",0,1,0,1
"24.3.6.38","JSON",1,1,0,1
"24.3.6.38","Arrow",1,1,0,0
"24.3.6.38","RowBinary",1,1,0,1
"24.3.6.38","HiveText",1,0,1,0
"24.3.6.38","RowBinaryWithDefaults",1,0,0,0
"24.3.6.38","Native",1,1,0,0
"24.3.6.38","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1
"24.3.6.38","JSONCompactStringsEachRow",1,1,1,1
"24.3.6.38","TabSeparatedWithNamesAndTypes",1,1,1,1
"24.3.6.38","JSONCompactStringsEachRowWithNames",1,1,1,1
"24.3.6.38","JSONCompactEachRowWithNamesAndTypes",1,1,1,1
"24.3.6.38","JSONCompactEachRow",1,1,1,1
"24.3.6.38","JSONEachRow",1,1,1,1
"24.3.6.38","ParquetMetadata",1,0,1,0
"24.3.6.38","Values",1,1,0,1
"24.3.6.38","TabSeparatedRawWithNamesAndTypes",1,1,1,1
"24.3.6.38","MySQLWire",0,1,0,0
"24.3.6.38","CSVWithNames",1,1,1,1
"24.3.6.38","TSKV",1,1,1,1
"24.3.6.38","DWARF",1,0,1,0
"24.3.6.38","TabSeparatedRawWithNames",1,1,1,1
"24.3.6.38","RowBinaryWithNamesAndTypes",1,1,0,1
"24.3.6.38","JSONCompact",1,1,0,1
"24.3.6.38","CSV",1,1,1,1
"24.3.6.38","CustomSeparatedIgnoreSpaces",1,0,0,0
"24.3.6.38","JSONAsObject",1,0,1,0
"24.3.6.38","TSVRawWithNames",1,1,1,1
"24.3.6.38","TabSeparatedRaw",1,1,1,1
"24.3.6.38","Npy",1,0,0,0
"24.3.6.38","TSVRawWithNamesAndTypes",1,1,1,1
"24.3.6.38","CapnProto",1,1,0,0
"24.3.6.38","JSONCompactEachRowWithNames",1,1,1,1
"24.3.6.38","Prometheus",0,1,0,0
"24.3.6.38","One",1,0,0,0
"24.3.6.38","Regexp",1,0,1,0
"24.3.6.38","PostgreSQLWire",0,1,0,0
"24.3.6.38","TSVWithNamesAndTypes",1,1,1,1
"24.3.6.38","TabSeparatedWithNames",1,1,1,1
"24.3.6.38","BSONEachRow",1,1,1,1
"24.3.6.38","TabSeparated",1,1,1,1
"24.3.6.38","TSVWithNames",1,1,1,1
"24.3.6.38","Null",0,1,0,0
