"ch_version","name","is_input","is_output","supports_parallel_parsing","supports_parallel_formatting","is_tty_friendly"
"25.3.9.72","One",1,0,0,0,1
"25.3.9.72","ParquetMetadata",1,0,1,0,1
"25.3.9.72","MySQLDump",1,0,0,0,1
"25.3.9.72","CapnProto",1,1,0,0,0
"25.3.9.72","PostgreSQLWire",0,1,0,0,0
"25.3.9.72","TSV",1,1,1,1,1
"25.3.9.72","PrettyCompactMonoBlock",0,1,0,0,1
"25.3.9.72","JSONEachRowWithProgress",0,1,0,0,1
"25.3.9.72","JSONCompactStrings",0,1,0,1,1
"25.3.9.72","JSONStringsEachRowWithProgress",0,1,0,0,1
"25.3.9.72","Vertical",0,1,0,1,1
"25.3.9.72","PrettySpaceNoEscapesMonoBlock",0,1,0,0,1
"25.3.9.72","Null",0,1,0,0,1
"25.3.9.72","PrettySpaceNoEscapes",0,1,0,0,1
"25.3.9.72","Markdown",0,1,0,1,1
"25.3.9.72","Form",1,0,0,0,1
"25.3.9.72","ODBCDriver2",0,1,0,0,0
"25.3.9.72","PrettySpaceMonoBlock",0,1,0,0,1
"25.3.9.72","PrettyCompactNoEscapesMonoBlock",0,1,0,0,1
"25.3.9.72","PrettyCompactNoEscapes",0,1,0,0,1
"25.3.9.72","JSONStringsEachRow",1,1,1,1,1
"25.3.9.72","PrettyCompact",0,1,0,0,1
"25.3.9.72","DWARF",1,0,1,0,1
"25.3.9.72","Values",1,1,0,1,1
"25.3.9.72","PrettyNoEscapesMonoBlock",0,1,0,0,1
"25.3.9.72","PrettyNoEscapes",0,1,0,0,1
"25.3.9.72","PrettyMonoBlock",0,1,0,0,1
"25.3.9.72","AvroConfluent",1,0,0,0,1
"25.3.9.72","RawBLOB",1,1,0,0,1
"25.3.9.72","Parquet",1,1,1,0,0
"25.3.9.72","JSONCompactEachRowWithProgress",0,1,0,0,1
"25.3.9.72","CustomSeparatedIgnoreSpacesWithNamesAndTypes",1,0,0,0,1
"25.3.9.72","CustomSeparatedIgnoreSpacesWithNames",1,0,0,0,1
"25.3.9.72","CustomSeparatedWithNamesAndTypes",1,1,0,1,1
"25.3.9.72","PrettySpace",0,1,0,0,1
"25.3.9.72","Arrow",1,1,0,0,0
"25.3.9.72","JSONAsString",1,0,1,0,1
"25.3.9.72","CustomSeparatedWithNames",1,1,0,1,1
"25.3.9.72","CustomSeparated",1,1,0,1,1
"25.3.9.72","BSONEachRow",1,1,1,1,0
"25.3.9.72","Template",1,1,0,0,1
"25.3.9.72","XML",0,1,0,1,1
"25.3.9.72","ProtobufList",1,1,0,0,0
"25.3.9.72","ProtobufSingle",1,1,0,0,0
"25.3.9.72","JSONColumnsWithMetadata",1,1,0,0,1
"25.3.9.72","TSVRawWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","Npy",1,1,0,0,0
"25.3.9.72","TemplateIgnoreSpaces",1,0,0,0,1
"25.3.9.72","JSONCompactColumns",1,1,0,0,1
"25.3.9.72","JSONColumns",1,1,0,0,1
"25.3.9.72","ArrowStream",1,1,0,0,0
"25.3.9.72","JSONObjectEachRow",1,1,0,1,1
"25.3.9.72","NDJSON",1,1,1,1,1
"25.3.9.72","PrettyNDJSON",0,1,0,1,1
"25.3.9.72","LineAsStringWithNamesAndTypes",0,1,0,1,1
"25.3.9.72","PrettyJSONLines",0,1,0,1,1
"25.3.9.72","CSVWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","ORC",1,1,0,0,0
"25.3.9.72","Protobuf",1,1,0,0,0
"25.3.9.72","PrettyJSONEachRow",0,1,0,1,1
"25.3.9.72","JSONStrings",0,1,0,1,1
"25.3.9.72","JSON",1,1,0,1,1
"25.3.9.72","RawWithNames",1,1,1,1,1
"25.3.9.72","MsgPack",1,1,0,1,0
"25.3.9.72","LineAsStringWithNames",0,1,0,1,1
"25.3.9.72","JSONCompactStringsEachRowWithProgress",0,1,0,0,1
"25.3.9.72","LineAsString",1,1,1,1,1
"25.3.9.72","RowBinaryWithNames",1,1,0,1,0
"25.3.9.72","RowBinary",1,1,0,1,0
"25.3.9.72","SQLInsert",0,1,0,0,1
"25.3.9.72","Native",1,1,0,0,0
"25.3.9.72","Prometheus",0,1,0,0,1
"25.3.9.72","TSVRaw",1,1,1,1,1
"25.3.9.72","JSONLines",1,1,1,1,1
"25.3.9.72","CustomSeparatedIgnoreSpaces",1,0,0,0,1
"25.3.9.72","JSONAsObject",1,0,1,0,1
"25.3.9.72","HiveText",1,0,1,0,1
"25.3.9.72","RowBinaryWithDefaults",1,0,0,0,1
"25.3.9.72","JSONCompactStringsEachRowWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","RawWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","JSONCompactStringsEachRow",1,1,1,1,1
"25.3.9.72","TabSeparatedWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","JSONCompactStringsEachRowWithNames",1,1,1,1,1
"25.3.9.72","JSONCompactEachRowWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","JSONCompactEachRow",1,1,1,1,1
"25.3.9.72","TSKV",1,1,1,1,1
"25.3.9.72","Avro",1,1,0,0,0
"25.3.9.72","JSONEachRow",1,1,1,1,1
"25.3.9.72","Pretty",0,1,0,0,1
"25.3.9.72","TSVRawWithNames",1,1,1,1,1
"25.3.9.72","TabSeparatedRaw",1,1,1,1,1
"25.3.9.72","Regexp",1,0,1,0,1
"25.3.9.72","TabSeparatedRawWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","MySQLWire",0,1,0,0,0
"25.3.9.72","CSVWithNames",1,1,1,1,1
"25.3.9.72","Raw",1,1,1,1,1
"25.3.9.72","TabSeparatedRawWithNames",1,1,1,1,1
"25.3.9.72","RowBinaryWithNamesAndTypes",1,1,0,1,0
"25.3.9.72","JSONCompact",1,1,0,1,1
"25.3.9.72","CSV",1,1,1,1,1
"25.3.9.72","JSONCompactEachRowWithNames",1,1,1,1,1
"25.3.9.72","TSVWithNamesAndTypes",1,1,1,1,1
"25.3.9.72","TabSeparatedWithNames",1,1,1,1,1
"25.3.9.72","TabSeparated",1,1,1,1,1
"25.3.9.72","TSVWithNames",1,1,1,1,1
