"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","merge_selecting_sleep_ms","5000",0,"Maximum sleep time for merge selecting, a lower setting will trigger selecting tasks in background_schedule_pool frequently which result in large amount of requests to zookeeper in large-scale clusters",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","max_merge_selecting_sleep_ms","60000",0,"Maximum sleep time for merge selecting, a lower setting will trigger selecting tasks in background_schedule_pool frequently which result in large amount of requests to zookeeper in large-scale clusters",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","merge_selecting_sleep_slowdown_factor","1.2",0,"The sleep time for merge selecting task is multiplied by this factor when there's nothing to merge and divided when a merge was assigned",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","merge_tree_clear_old_temporary_directories_interval_seconds","60",0,"The period of executing the clear old temporary directories operation in background.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","merge_tree_clear_old_parts_interval_seconds","1",0,"The period of executing the clear old parts operation in background.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_age_to_force_merge_seconds","0",0,"If all parts in a certain range are older than this value, range will be always eligible for merging. Set to 0 to disable.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_age_to_force_merge_on_partition_only","0",0,"Whether min_age_to_force_merge_seconds should be applied only on the entire partition and not on subset.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","number_of_free_entries_in_pool_to_execute_optimize_entire_partition","25",0,"When there is less than specified number of free entries in pool, do not try to execute optimize entire partition with a merge (this merge is created when set min_age_to_force_merge_seconds > 0 and min_age_to_force_merge_on_partition_only = true). This is to leave free threads for regular merges and avoid ""Too many parts""",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","remove_rolled_back_parts_immediately","1",0,"Setting for an incomplete experimental feature.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","replicated_max_mutations_in_one_entry","10000",0,"Max number of mutation commands that can be merged together and executed in one MUTATE_PART entry (0 means unlimited)",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","number_of_mutations_to_delay","500",0,"If table has at least that many unfinished mutations, artificially slow down mutations of table. Disabled if set to 0",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","number_of_mutations_to_throw","1000",0,"If table has at least that many unfinished mutations, throw 'Too many mutations' exception. Disabled if set to 0",\N,\N,0,"UInt64",0
