"ch_version","name","value","changed","description","min","max","readonly","type","is_obsolete"
"24.3.12.76.altinitystable","cache_populated_by_fetch","0",0,"Only available in ClickHouse Cloud",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","force_read_through_cache_for_merges","0",0,"Force read-through filesystem cache for merges",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","allow_experimental_block_number_column","0",0,"Enable persisting column _block_number for each row.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","allow_experimental_replacing_merge_with_cleanup","0",0,"Allow experimental CLEANUP merges for ReplacingMergeTree with is_deleted column.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","compress_marks","1",0,"Marks support compression, reduce mark file size and speed up network transmission.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","compress_primary_key","1",0,"Primary key support compression, reduce primary key file size and speed up network transmission.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","marks_compression_codec","ZSTD(3)",0,"Compression encoding used by marks, marks are small enough and cached, so the default compression is ZSTD(3).",\N,\N,0,"String",0
"24.3.12.76.altinitystable","primary_key_compression_codec","ZSTD(3)",0,"Compression encoding used by primary, primary key is small enough and cached, so the default compression is ZSTD(3).",\N,\N,0,"String",0
"24.3.12.76.altinitystable","marks_compress_block_size","65536",0,"Mark compress block size, the actual size of the block to compress.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","primary_key_compress_block_size","65536",0,"Primary compress block size, the actual size of the block to compress.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","primary_key_lazy_load","1",0,"Load primary key in memory on first use instead of on table initialization. This can save memory in the presence of a large number of tables.",\N,\N,0,"Bool",0
"24.3.12.76.altinitystable","primary_key_ratio_of_unique_prefix_values_to_skip_suffix_columns","0.9",0,"If the value of a column of the primary key in data part changes at least in this ratio of times, skip loading next columns in memory. This allows to save memory usage by not loading useless columns of the primary key.",\N,\N,0,"Float",0
"24.3.12.76.altinitystable","max_projections","25",0,"The maximum number of merge tree projections.",\N,\N,0,"UInt64",0
"24.3.12.76.altinitystable","min_relative_delay_to_yield_leadership","120",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","check_delay_period","60",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","replicated_max_parallel_sends","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","replicated_max_parallel_sends_for_table","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","replicated_max_parallel_fetches","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","replicated_max_parallel_fetches_for_table","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","write_final_mark","1",0,"Obsolete setting, does nothing.",\N,\N,0,"Bool",1
"24.3.12.76.altinitystable","min_bytes_for_compact_part","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","min_rows_for_compact_part","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","in_memory_parts_enable_wal","1",0,"Obsolete setting, does nothing.",\N,\N,0,"Bool",1
"24.3.12.76.altinitystable","write_ahead_log_max_bytes","1073741824",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","write_ahead_log_bytes_to_fsync","104857600",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","write_ahead_log_interval_ms_to_fsync","100",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","in_memory_parts_insert_sync","0",0,"Obsolete setting, does nothing.",\N,\N,0,"Bool",1
"24.3.12.76.altinitystable","max_part_loading_threads","'auto(12)'",0,"Obsolete setting, does nothing.",\N,\N,0,"MaxThreads",1
"24.3.12.76.altinitystable","max_part_removal_threads","'auto(12)'",0,"Obsolete setting, does nothing.",\N,\N,0,"MaxThreads",1
"24.3.12.76.altinitystable","use_metadata_cache","0",0,"Obsolete setting, does nothing.",\N,\N,0,"Bool",1
"24.3.12.76.altinitystable","merge_tree_enable_clear_old_broken_detached","0",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","merge_tree_clear_old_broken_detached_parts_ttl_timeout_seconds","2592000",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","replicated_fetches_http_connection_timeout","0",0,"Obsolete setting, does nothing.",\N,\N,0,"Seconds",1
"24.3.12.76.altinitystable","replicated_fetches_http_send_timeout","0",0,"Obsolete setting, does nothing.",\N,\N,0,"Seconds",1
"24.3.12.76.altinitystable","replicated_fetches_http_receive_timeout","0",0,"Obsolete setting, does nothing.",\N,\N,0,"Seconds",1
"24.3.12.76.altinitystable","replicated_max_parallel_fetches_for_host","15",0,"Obsolete setting, does nothing.",\N,\N,0,"UInt64",1
"24.3.12.76.altinitystable","clean_deleted_rows","Never",0,"Obsolete setting, does nothing.",\N,\N,0,"CleanDeletedRows",1
