"ch_version","name","value"
"23.10.4.25","VERSION_FULL","ClickHouse 23.10.4.25"
"23.10.4.25","VERSION_DESCRIBE","v23.10.4.25-stable"
"23.10.4.25","VERSION_INTEGER","23010004"
"23.10.4.25","SYSTEM","Linux"
"23.10.4.25","VERSION_GITHASH","330fd687d41e2b6a3adb8920bcb2a39c1330e9af"
"23.10.4.25","VERSION_REVISION","54479"
"23.10.4.25","BUILD_TYPE","RelWithDebInfo"
"23.10.4.25","SYSTEM_PROCESSOR","x86_64"
"23.10.4.25","CMAKE_VERSION","3.27.7"
"23.10.4.25","C_COMPILER","/usr/bin/clang-17"
"23.10.4.25","C_COMPILER_VERSION","17.0.3"
"23.10.4.25","CXX_COMPILER","/usr/bin/clang++-17"
"23.10.4.25","CXX_COMPILER_VERSION","17.0.3"
"23.10.4.25","C_FLAGS"," --gcc-toolchain=./cmake/linux/../../contrib/sysroot/linux-x86_64 -fdiagnostics-color=always -Xclang -fuse-ctor-homing -Wno-enum-constexpr-conversion  -gdwarf-aranges -pipe -mssse3 -msse4.1 -msse4.2 -mpclmul -mpopcnt -fasynchronous-unwind-tables -ffile-prefix-map=.=. -ftime-trace -falign-functions=32 -mbranches-within-32B-boundaries  -fdiagnostics-absolute-paths -Wframe-larger-than=65536 -Weverything -Wpedantic -Wno-zero-length-array -Wno-c++98-compat-pedantic -Wno-c++98-compat -Wno-c++20-compat -Wno-sign-conversion -Wno-implicit-int-conversion -Wno-implicit-int-float-conversion -Wno-ctad-maybe-unsupported -Wno-disabled-macro-expansion -Wno-documentation-unknown-command -Wno-double-promotion -Wno-exit-time-destructors -Wno-float-equal -Wno-global-constructors -Wno-missing-prototypes -Wno-missing-variable-declarations -Wno-padded -Wno-switch-enum -Wno-undefined-func-template -Wno-unused-template -Wno-vla -Wno-weak-template-vtables -Wno-weak-vtables -Wno-thread-safety-negative -Wno-enum-constexpr-conversion -Wno-unsafe-buffer-usage -O2 -g -DNDEBUG -O3 -g -gdwarf-4  -flto=thin -fwhole-program-vtables -fno-pie"
