"ch_version","name","is_input","is_output"
"19.3.5","ODBCDriver2",0,1
"19.3.5","XML",0,1
"19.3.5","JSONCompact",0,1
"19.3.5","JSON",0,1
"19.3.5","PrettySpaceNoEscapes",0,1
"19.3.5","PrettyCompactMonoBlock",0,1
"19.3.5","PrettyNoEscapes",0,1
"19.3.5","PrettySpace",0,1
"19.3.5","PrettyCompact",0,1
"19.3.5","Pretty",0,1
"19.3.5","Vertical",0,1
"19.3.5","Protobuf",0,1
"19.3.5","RowBinaryWithNamesAndTypes",1,1
"19.3.5","TabSeparated",1,1
"19.3.5","Native",1,1
"19.3.5","Null",0,1
"19.3.5","CSV",1,1
"19.3.5","ODBCDriver",0,1
"19.3.5","RowBinary",1,1
"19.3.5","TabSeparatedWithNames",1,1
"19.3.5","TSVWithNames",1,1
"19.3.5","CapnProto",1,0
"19.3.5","TSVRaw",0,1
"19.3.5","TabSeparatedWithNamesAndTypes",1,1
"19.3.5","PrettyCompactNoEscapes",0,1
"19.3.5","TSVWithNamesAndTypes",1,1
"19.3.5","TSKV",1,1
"19.3.5","TSV",1,1
"19.3.5","TabSeparatedRaw",0,1
"19.3.5","Values",1,1
"19.3.5","CSVWithNames",1,1
"19.3.5","JSONEachRow",1,1
