"20.4.7.67","IPv6",0,""
"20.4.7.67","IPv4",0,""
"20.4.7.67","IntervalYear",0,""
"20.4.7.67","IntervalQuarter",0,""
"20.4.7.67","IntervalMonth",0,""
"20.4.7.67","IntervalDay",0,""
"20.4.7.67","IntervalHour",0,""
"20.4.7.67","IntervalSecond",0,""
"20.4.7.67","AggregateFunction",0,""
"20.4.7.67","Nothing",0,""
"20.4.7.67","Tuple",0,""
"20.4.7.67","Array",0,""
"20.4.7.67","Nullable",0,""
"20.4.7.67","Int32",0,""
"20.4.7.67","Date",1,""
"20.4.7.67","Enum",0,""
"20.4.7.67","Enum8",0,""
"20.4.7.67","IntervalMinute",0,""
"20.4.7.67","FixedString",0,""
"20.4.7.67","LowCardinality",0,""
"20.4.7.67","String",0,""
"20.4.7.67","DateTime",1,""
"20.4.7.67","UUID",0,""
"20.4.7.67","Decimal64",1,""
"20.4.7.67","Decimal32",1,""
"20.4.7.67","Float64",0,""
"20.4.7.67","Int16",0,""
"20.4.7.67","DateTime64",1,""
"20.4.7.67","Decimal128",1,""
"20.4.7.67","Int8",0,""
"20.4.7.67","SimpleAggregateFunction",0,""
"20.4.7.67","Nested",0,""
"20.4.7.67","Int64",0,""
"20.4.7.67","Decimal",1,""
"20.4.7.67","IntervalWeek",0,""
"20.4.7.67","UInt64",0,""
"20.4.7.67","Enum16",0,""
"20.4.7.67","UInt32",0,""
"20.4.7.67","UInt16",0,""
"20.4.7.67","Float32",0,""
"20.4.7.67","UInt8",0,""
"20.4.7.67","BINARY",1,"FixedString"
"20.4.7.67","LONGBLOB",1,"String"
"20.4.7.67","LONGTEXT",1,"String"
"20.4.7.67","TINYTEXT",1,"String"
"20.4.7.67","TEXT",1,"String"
"20.4.7.67","TINYINT",1,"Int8"
"20.4.7.67","DEC",1,"Decimal"
"20.4.7.67","VARCHAR",1,"String"
"20.4.7.67","MEDIUMBLOB",1,"String"
"20.4.7.67","TIMESTAMP",1,"DateTime"
"20.4.7.67","BLOB",1,"String"
"20.4.7.67","FLOAT",1,"Float32"
"20.4.7.67","INTEGER",1,"Int32"
"20.4.7.67","DOUBLE",1,"Float64"
"20.4.7.67","BIGINT",1,"Int64"
"20.4.7.67","TINYBLOB",1,"String"
"20.4.7.67","CHAR",1,"String"
"20.4.7.67","MEDIUMTEXT",1,"String"
"20.4.7.67","INT",1,"Int32"
"20.4.7.67","SMALLINT",1,"Int16"
