"ch_version","name"
"21.3.15.2.altinity+stable","mysql"
"21.3.15.2.altinity+stable","view"
"21.3.15.2.altinity+stable","postgresql"
"21.3.15.2.altinity+stable","odbc"
"21.3.15.2.altinity+stable","hdfs"
"21.3.15.2.altinity+stable","cosn"
"21.3.15.2.altinity+stable","generateRandom"
"21.3.15.2.altinity+stable","input"
"21.3.15.2.altinity+stable","values"
"21.3.15.2.altinity+stable","s3"
"21.3.15.2.altinity+stable","url"
"21.3.15.2.altinity+stable","remoteSecure"
"21.3.15.2.altinity+stable","zeros"
"21.3.15.2.altinity+stable","zeros_mt"
"21.3.15.2.altinity+stable","numbers_mt"
"21.3.15.2.altinity+stable","clusterAllReplicas"
"21.3.15.2.altinity+stable","jdbc"
"21.3.15.2.altinity+stable","cluster"
"21.3.15.2.altinity+stable","numbers"
"21.3.15.2.altinity+stable","file"
"21.3.15.2.altinity+stable","merge"
"21.3.15.2.altinity+stable","remote"
"21.3.15.2.altinity+stable","null"
