"ch_version","name","case_insensitive","alias_to"
"22.3.16.1190","JSON",1,""
"22.3.16.1190","Polygon",0,""
"22.3.16.1190","Ring",0,""
"22.3.16.1190","Point",0,""
"22.3.16.1190","SimpleAggregateFunction",0,""
"22.3.16.1190","MultiPolygon",0,""
"22.3.16.1190","IPv6",0,""
"22.3.16.1190","IntervalSecond",0,""
"22.3.16.1190","IPv4",0,""
"22.3.16.1190","UInt32",0,""
"22.3.16.1190","IntervalYear",0,""
"22.3.16.1190","IntervalQuarter",0,""
"22.3.16.1190","IntervalMonth",0,""
"22.3.16.1190","Int64",0,""
"22.3.16.1190","IntervalDay",0,""
"22.3.16.1190","IntervalHour",0,""
"22.3.16.1190","Int16",0,""
"22.3.16.1190","UInt256",0,""
"22.3.16.1190","LowCardinality",0,""
"22.3.16.1190","AggregateFunction",0,""
"22.3.16.1190","Nothing",0,""
"22.3.16.1190","Decimal256",1,""
"22.3.16.1190","Tuple",0,""
"22.3.16.1190","Array",0,""
"22.3.16.1190","Bool",1,""
"22.3.16.1190","Enum16",0,""
"22.3.16.1190","IntervalMinute",0,""
"22.3.16.1190","FixedString",0,""
"22.3.16.1190","String",0,""
"22.3.16.1190","DateTime",1,""
"22.3.16.1190","Object",0,""
"22.3.16.1190","Map",0,""
"22.3.16.1190","UUID",0,""
"22.3.16.1190","Decimal64",1,""
"22.3.16.1190","Nullable",0,""
"22.3.16.1190","Enum",1,""
"22.3.16.1190","Int32",0,""
"22.3.16.1190","UInt8",0,""
"22.3.16.1190","Date",1,""
"22.3.16.1190","Decimal32",1,""
"22.3.16.1190","UInt128",0,""
"22.3.16.1190","Float64",0,""
"22.3.16.1190","Nested",0,""
"22.3.16.1190","Int128",0,""
"22.3.16.1190","Decimal128",1,""
"22.3.16.1190","Int8",0,""
"22.3.16.1190","Decimal",1,""
"22.3.16.1190","Int256",0,""
"22.3.16.1190","DateTime64",1,""
"22.3.16.1190","Enum8",0,""
"22.3.16.1190","DateTime32",1,""
"22.3.16.1190","Date32",1,""
"22.3.16.1190","IntervalWeek",0,""
"22.3.16.1190","UInt64",0,""
"22.3.16.1190","UInt16",0,""
"22.3.16.1190","Float32",0,""
"22.3.16.1190","bool",1,"Bool"
"22.3.16.1190","INET6",1,"IPv6"
"22.3.16.1190","INET4",1,"IPv4"
"22.3.16.1190","ENUM",1,"Enum"
"22.3.16.1190","BINARY",1,"FixedString"
"22.3.16.1190","GEOMETRY",1,"String"
"22.3.16.1190","NATIONAL CHAR VARYING",1,"String"
"22.3.16.1190","BINARY VARYING",1,"String"
"22.3.16.1190","NCHAR LARGE OBJECT",1,"String"
"22.3.16.1190","NATIONAL CHARACTER VARYING",1,"String"
"22.3.16.1190","boolean",1,"Bool"
"22.3.16.1190","NATIONAL CHARACTER LARGE OBJECT",1,"String"
"22.3.16.1190","NATIONAL CHARACTER",1,"String"
"22.3.16.1190","NATIONAL CHAR",1,"String"
"22.3.16.1190","CHARACTER VARYING",1,"String"
"22.3.16.1190","LONGBLOB",1,"String"
"22.3.16.1190","TINYBLOB",1,"String"
"22.3.16.1190","MEDIUMTEXT",1,"String"
"22.3.16.1190","TEXT",1,"String"
"22.3.16.1190","VARCHAR2",1,"String"
"22.3.16.1190","CHARACTER LARGE OBJECT",1,"String"
"22.3.16.1190","DOUBLE PRECISION",1,"Float64"
"22.3.16.1190","LONGTEXT",1,"String"
"22.3.16.1190","NVARCHAR",1,"String"
"22.3.16.1190","INT1 UNSIGNED",1,"UInt8"
"22.3.16.1190","VARCHAR",1,"String"
"22.3.16.1190","CHAR VARYING",1,"String"
"22.3.16.1190","MEDIUMBLOB",1,"String"
"22.3.16.1190","NCHAR",1,"String"
"22.3.16.1190","VARBINARY",1,"String"
"22.3.16.1190","CHAR",1,"String"
"22.3.16.1190","SMALLINT UNSIGNED",1,"UInt16"
"22.3.16.1190","TIMESTAMP",1,"DateTime"
"22.3.16.1190","FIXED",1,"Decimal"
"22.3.16.1190","TINYTEXT",1,"String"
"22.3.16.1190","NUMERIC",1,"Decimal"
"22.3.16.1190","DEC",1,"Decimal"
"22.3.16.1190","TIME",1,"Int64"
"22.3.16.1190","FLOAT",1,"Float32"
"22.3.16.1190","SET",1,"UInt64"
"22.3.16.1190","TINYINT UNSIGNED",1,"UInt8"
"22.3.16.1190","INTEGER UNSIGNED",1,"UInt32"
"22.3.16.1190","INT UNSIGNED",1,"UInt32"
"22.3.16.1190","CLOB",1,"String"
"22.3.16.1190","MEDIUMINT UNSIGNED",1,"UInt32"
"22.3.16.1190","BLOB",1,"String"
"22.3.16.1190","REAL",1,"Float32"
"22.3.16.1190","SMALLINT",1,"Int16"
"22.3.16.1190","INTEGER SIGNED",1,"Int32"
"22.3.16.1190","NCHAR VARYING",1,"String"
"22.3.16.1190","INT SIGNED",1,"Int32"
"22.3.16.1190","TINYINT SIGNED",1,"Int8"
"22.3.16.1190","BIGINT SIGNED",1,"Int64"
"22.3.16.1190","BINARY LARGE OBJECT",1,"String"
"22.3.16.1190","SMALLINT SIGNED",1,"Int16"
"22.3.16.1190","YEAR",1,"UInt16"
"22.3.16.1190","MEDIUMINT",1,"Int32"
"22.3.16.1190","INTEGER",1,"Int32"
"22.3.16.1190","INT1 SIGNED",1,"Int8"
"22.3.16.1190","BIT",1,"UInt64"
"22.3.16.1190","BIGINT UNSIGNED",1,"UInt64"
"22.3.16.1190","BYTEA",1,"String"
"22.3.16.1190","INT",1,"Int32"
"22.3.16.1190","SINGLE",1,"Float32"
"22.3.16.1190","MEDIUMINT SIGNED",1,"Int32"
"22.3.16.1190","DOUBLE",1,"Float64"
"22.3.16.1190","INT1",1,"Int8"
"22.3.16.1190","CHAR LARGE OBJECT",1,"String"
"22.3.16.1190","TINYINT",1,"Int8"
"22.3.16.1190","BIGINT",1,"Int64"
"22.3.16.1190","CHARACTER",1,"String"
"22.3.16.1190","BYTE",1,"Int8"
